 arch	  circuit	  script_params	  vtr_flow_elapsed_time	  vtr_max_mem_stage	  vtr_max_mem	  error	  odin_synth_time	  max_odin_mem	  yosys_synth_time	  max_yosys_mem	  abc_depth	  abc_synth_time	  abc_cec_time	  abc_sec_time	  max_abc_mem	  ace_time	  max_ace_mem	  num_clb	  num_io	  num_memories	  num_mult	  vpr_status	  vpr_revision	  vpr_build_info	  vpr_compiler	  vpr_compiled	  hostname	  rundir	  max_vpr_mem	  num_primary_inputs	  num_primary_outputs	  num_pre_packed_nets	  num_pre_packed_blocks	  num_netlist_clocks	  num_post_packed_nets	  num_post_packed_blocks	  device_width	  device_height	  device_grid_tiles	  device_limiting_resources	  device_name	  pack_time	  placed_wirelength_est	  place_time	  place_quench_time	  placed_CPD_est	  placed_setup_TNS_est	  placed_setup_WNS_est	  placed_geomean_nonvirtual_intradomain_critical_path_delay_est	  place_delay_matrix_lookup_time	  place_quench_timing_analysis_time	  place_quench_sta_time	  place_total_timing_analysis_time	  place_total_sta_time	  min_chan_width	  routed_wirelength	  min_chan_width_route_success_iteration	  logic_block_area_total	  logic_block_area_used	  min_chan_width_routing_area_total	  min_chan_width_routing_area_per_tile	  min_chan_width_route_time	  min_chan_width_total_timing_analysis_time	  min_chan_width_total_sta_time	  crit_path_routed_wirelength	  crit_path_route_success_iteration	  crit_path_total_nets_routed	  crit_path_total_connections_routed	  crit_path_total_heap_pushes	  crit_path_total_heap_pops	  critical_path_delay	  geomean_nonvirtual_intradomain_critical_path_delay	  setup_TNS	  setup_WNS	  hold_TNS	  hold_WNS	  crit_path_routing_area_total	  crit_path_routing_area_per_tile	  router_lookahead_computation_time	  crit_path_route_time	  crit_path_total_timing_analysis_time	  crit_path_total_sta_time	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  arm_core.v	  common	  263.81	  yosys	  554.89 MiB	  	  -1	  -1	  36.13	  568212	  20	  39.57	  -1	  -1	  73108	  -1	  -1	  857	  133	  24	  0	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  250556	  133	  179	  14304	  14161	  1	  7135	  1193	  37	  37	  1369	  clb	  auto	  35.02	  -1	  13.09	  0.09	  17.4679	  -180436	  -17.4679	  17.4679	  3.69	  0.0249305	  0.0216642	  3.61193	  2.96606	  112	  179589	  34	  7.54166e+07	  5.93401e+07	  9.64648e+06	  7046.37	  86.30	  12.71	  10.7019	  166751	  19	  31901	  123148	  39614877	  9209002	  19.1702	  19.1702	  -199469	  -19.1702	  0	  0	  1.22376e+07	  8939.05	  3.59	  9.53	  1.90591	  1.71312	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  bgm.v	  common	  467.36	  yosys	  1.32 GiB	  	  -1	  -1	  81.81	  1380732	  14	  70.73	  -1	  -1	  154208	  -1	  -1	  2679	  257	  0	  11	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  653888	  257	  32	  35826	  33457	  1	  19699	  2979	  62	  62	  3844	  clb	  auto	  67.36	  -1	  63.73	  0.44	  18.7985	  -23526.5	  -18.7985	  18.7985	  33.47	  0.0767371	  0.0620226	  9.65351	  8.01506	  76	  390248	  24	  2.30929e+08	  1.4874e+08	  1.99380e+07	  5186.80	  87.23	  27.8734	  23.3686	  369066	  19	  90260	  402054	  25396080	  4145463	  21.5826	  21.5826	  -26624.7	  -21.5826	  0	  0	  2.49292e+07	  6485.22	  8.03	  10.46	  5.21445	  4.64183	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  blob_merge.v	  common	  90.57	  yosys	  289.56 MiB	  	  -1	  -1	  21.69	  296512	  5	  5.40	  -1	  -1	  60272	  -1	  -1	  485	  36	  0	  0	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  153956	  36	  100	  10163	  7617	  1	  2777	  621	  28	  28	  784	  clb	  auto	  17.55	  -1	  4.64	  0.03	  13.564	  -2218.81	  -13.564	  13.564	  1.99	  0.0116291	  0.0102535	  1.7256	  1.49688	  72	  69668	  20	  4.25198e+07	  2.61386e+07	  3.68518e+06	  4700.49	  26.20	  6.26856	  5.37859	  63665	  15	  12739	  66552	  3003653	  430259	  15.9697	  15.9697	  -2594.03	  -15.9697	  0	  0	  4.61751e+06	  5889.69	  1.21	  1.25	  0.76912	  0.701121	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  boundtop.v	  common	  16.11	  yosys	  68.34 MiB	  	  -1	  -1	  6.71	  69984	  3	  1.16	  -1	  -1	  41420	  -1	  -1	  50	  196	  1	  0	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  41308	  196	  193	  1406	  1499	  1	  667	  440	  15	  15	  225	  io	  auto	  1.15	  -1	  1.04	  0.01	  2.85726	  -989.038	  -2.85726	  2.85726	  0.67	  0.00282342	  0.00246783	  0.403943	  0.36148	  38	  5781	  16	  1.03862e+07	  3.2427e+06	  544116.	  2418.30	  2.27	  1.13775	  1.03458	  5164	  11	  1481	  2007	  170300	  47782	  3.34733	  3.34733	  -1216.99	  -3.34733	  0	  0	  690508.	  3068.92	  0.24	  0.16	  0.122391	  0.116188	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  ch_intrinsics.v	  common	  4.44	  abc	  36.36 MiB	  	  -1	  -1	  0.40	  19544	  3	  0.10	  -1	  -1	  37228	  -1	  -1	  73	  99	  1	  0	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  32516	  99	  130	  347	  477	  1	  226	  303	  13	  13	  169	  clb	  auto	  0.26	  -1	  0.43	  0.00	  1.6034	  -111.368	  -1.6034	  1.6034	  0.43	  0.000602361	  0.000531879	  0.0984979	  0.0867187	  36	  1517	  15	  6.63067e+06	  4.48226e+06	  367804.	  2176.36	  1.45	  0.309715	  0.279388	  1310	  11	  399	  628	  45983	  15400	  2.01245	  2.01245	  -142.418	  -2.01245	  0	  0	  456020.	  2698.35	  0.15	  0.04	  0.0259518	  0.0245197	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  diffeq1.v	  common	  12.20	  vpr	  41.88 MiB	  	  -1	  -1	  0.64	  25820	  8	  0.28	  -1	  -1	  37984	  -1	  -1	  31	  162	  0	  3	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  42880	  162	  96	  1072	  951	  1	  668	  292	  14	  14	  196	  mult_36	  auto	  0.59	  -1	  0.72	  0.01	  14.2779	  -1216.76	  -14.2779	  14.2779	  0.52	  0.00165806	  0.00146395	  0.251513	  0.222846	  72	  8155	  27	  9.20055e+06	  2.85871e+06	  844708.	  4309.73	  6.95	  1.13517	  1.02856	  7713	  22	  2519	  4425	  1156588	  270871	  15.9497	  15.9497	  -1409.2	  -15.9497	  0	  0	  1.05868e+06	  5401.43	  0.31	  0.39	  0.137951	  0.129257	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  diffeq2.v	  common	  8.62	  vpr	  38.46 MiB	  	  -1	  -1	  0.50	  24448	  9	  0.30	  -1	  -1	  37560	  -1	  -1	  31	  66	  0	  3	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  39384	  66	  96	  827	  706	  1	  507	  196	  14	  14	  196	  mult_36	  auto	  0.61	  -1	  0.58	  0.01	  11.1869	  -715.714	  -11.1869	  11.1869	  0.56	  0.00139386	  0.00122771	  0.212156	  0.186872	  66	  7445	  22	  9.20055e+06	  2.85871e+06	  787562.	  4018.17	  3.66	  0.716185	  0.647812	  6890	  20	  2484	  4992	  1144987	  267165	  12.667	  12.667	  -831.824	  -12.667	  0	  0	  978561.	  4992.66	  0.29	  0.35	  0.105678	  0.0988196	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  mkDelayWorker32B.v	  common	  115.59	  vpr	  307.48 MiB	  	  -1	  -1	  24.49	  275804	  5	  3.76	  -1	  -1	  71556	  -1	  -1	  459	  506	  43	  0	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  314864	  506	  553	  3230	  3728	  1	  2859	  1561	  50	  50	  2500	  memory	  auto	  6.21	  -1	  8.36	  0.06	  6.30584	  -1771.36	  -6.30584	  6.30584	  33.44	  0.0189627	  0.016647	  3.87748	  3.48484	  38	  23080	  15	  1.47946e+08	  4.83019e+07	  6.86579e+06	  2746.32	  16.03	  6.55579	  6.01246	  21979	  17	  4316	  5392	  3882369	  965338	  7.16749	  7.16749	  -2245.22	  -7.16749	  0	  0	  8.69102e+06	  3476.41	  2.88	  1.19	  0.614676	  0.58478	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  mkPktMerge.v	  common	  30.02	  yosys	  91.17 MiB	  	  -1	  -1	  2.48	  93360	  2	  0.29	  -1	  -1	  43408	  -1	  -1	  28	  311	  15	  0	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  67280	  311	  156	  1010	  1153	  1	  961	  510	  28	  28	  784	  memory	  auto	  0.88	  -1	  1.51	  0.01	  4.32456	  -4095.37	  -4.32456	  4.32456	  2.96	  0.00409043	  0.00347902	  0.662344	  0.571593	  38	  14607	  14	  4.25198e+07	  9.72903e+06	  2.03941e+06	  2601.29	  15.12	  1.79862	  1.58922	  12963	  13	  2806	  3091	  2026077	  579805	  4.68904	  4.68904	  -4923.4	  -4.68904	  -0.00135869	  -0.00135869	  2.58563e+06	  3298.00	  0.73	  0.64	  0.188005	  0.173881	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  mkSMAdapter4B.v	  common	  48.87	  yosys	  73.81 MiB	  	  -1	  -1	  9.15	  75584	  5	  2.61	  -1	  -1	  42496	  -1	  -1	  176	  193	  5	  0	  success	  5472be8-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-26T01:07:55	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  61856	  193	  205	  2765	  2699	  1	  1386	  579	  20	  20	  400	  memory	  auto	  3.94	  -1	  3.46	  0.03	  4.68589	  -2644.39	  -4.68589	  4.68589	  1.39	  0.00693929	  0.00620361	  1.25803	  1.09593	  50	  22796	  39	  2.07112e+07	  1.22253e+07	  1.26946e+06	  3173.65	  22.25	  3.5875	  3.15905	  18321	  16	  5546	  14586	  1405277	  340262	  5.36589	  5.36589	  -3159.77	  -5.36589	  0	  0	  1.63222e+06	  4080.54	  0.54	  0.70	  0.374663	  0.346219	 
