 arch	  circuit	  script_params	  vtr_flow_elapsed_time	  vtr_max_mem_stage	  vtr_max_mem	  error	  odin_synth_time	  max_odin_mem	  yosys_synth_time	  max_yosys_mem	  abc_depth	  abc_synth_time	  abc_cec_time	  abc_sec_time	  max_abc_mem	  ace_time	  max_ace_mem	  num_clb	  num_io	  num_memories	  num_mult	  vpr_status	  vpr_revision	  vpr_build_info	  vpr_compiler	  vpr_compiled	  hostname	  rundir	  max_vpr_mem	  num_primary_inputs	  num_primary_outputs	  num_pre_packed_nets	  num_pre_packed_blocks	  num_netlist_clocks	  num_post_packed_nets	  num_post_packed_blocks	  device_width	  device_height	  device_grid_tiles	  device_limiting_resources	  device_name	  pack_time	  placed_wirelength_est	  place_time	  place_quench_time	  placed_CPD_est	  placed_setup_TNS_est	  placed_setup_WNS_est	  placed_geomean_nonvirtual_intradomain_critical_path_delay_est	  place_delay_matrix_lookup_time	  place_quench_timing_analysis_time	  place_quench_sta_time	  place_total_timing_analysis_time	  place_total_sta_time	  min_chan_width	  routed_wirelength	  min_chan_width_route_success_iteration	  logic_block_area_total	  logic_block_area_used	  min_chan_width_routing_area_total	  min_chan_width_routing_area_per_tile	  min_chan_width_route_time	  min_chan_width_total_timing_analysis_time	  min_chan_width_total_sta_time	  crit_path_routed_wirelength	  crit_path_route_success_iteration	  crit_path_total_nets_routed	  crit_path_total_connections_routed	  crit_path_total_heap_pushes	  crit_path_total_heap_pops	  critical_path_delay	  geomean_nonvirtual_intradomain_critical_path_delay	  setup_TNS	  setup_WNS	  hold_TNS	  hold_WNS	  crit_path_routing_area_total	  crit_path_routing_area_per_tile	  router_lookahead_computation_time	  crit_path_route_time	  crit_path_total_timing_analysis_time	  crit_path_total_sta_time	  num_le	  num_luts	  num_add_blocks	  max_add_chain_length	  num_sub_blocks	  max_sub_chain_length	 
 k6_frac_N10_mem32K_40nm.xml	  arm_core.v	  common	  449.58	  vpr	  261.89 MiB	  	  2.49	  128652	  -1	  -1	  25	  135.44	  -1	  -1	  69520	  -1	  -1	  987	  133	  24	  0	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  268172	  133	  179	  17481	  17660	  1	  8837	  1323	  39	  39	  1521	  clb	  auto	  18.56	  -1	  31.22	  0.22	  16.2079	  -146438	  -16.2079	  16.2079	  6.63	  0.0532623	  0.0457892	  8.31334	  6.57037	  104	  201974	  46	  8.65315e+07	  6.63466e+07	  1.01293e+07	  6659.65	  168.45	  28.2113	  22.9003	  184762	  18	  37032	  136184	  26152592	  5531800	  18.3646	  18.3646	  -167480	  -18.3646	  0	  0	  1.28536e+07	  8450.78	  5.92	  11.72	  3.66271	  3.17775	  9280	  12238	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  bgm.v	  common	  1264.07	  vpr	  606.30 MiB	  	  23.18	  380248	  -1	  -1	  22	  702.39	  -1	  -1	  152808	  -1	  -1	  2624	  257	  0	  11	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  620852	  257	  32	  32168	  31683	  1	  18612	  2924	  62	  62	  3844	  clb	  auto	  50.95	  -1	  123.01	  0.84	  15.7221	  -21743.3	  -15.7221	  15.7221	  57.40	  0.120373	  0.105097	  15.5313	  12.5822	  74	  393348	  48	  2.30929e+08	  1.45776e+08	  1.95702e+07	  5091.10	  209.23	  63.7365	  52.3121	  376075	  20	  102394	  470975	  33150642	  5623288	  17.4407	  17.4407	  -24938.9	  -17.4407	  0	  0	  2.45573e+07	  6388.47	  11.80	  19.59	  7.98197	  6.97693	  23841	  26295	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  blob_merge.v	  common	  224.43	  vpr	  122.93 MiB	  	  0.72	  63096	  -1	  -1	  18	  137.09	  -1	  -1	  71996	  -1	  -1	  572	  36	  0	  0	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  125880	  36	  100	  6600	  6700	  1	  2804	  708	  30	  30	  900	  clb	  auto	  7.26	  -1	  9.35	  0.06	  8.89204	  -2464.84	  -8.89204	  8.89204	  3.66	  0.0216926	  0.0185013	  3.17864	  2.59992	  62	  67577	  23	  4.8774e+07	  3.08274e+07	  3.73299e+06	  4147.77	  48.48	  10.9496	  9.18919	  62365	  14	  12319	  64514	  2753293	  358380	  10.1745	  10.1745	  -2790.53	  -10.1745	  0	  0	  4.63820e+06	  5153.56	  2.01	  2.12	  1.29076	  1.15324	  4999	  5961	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  boundtop.v	  common	  6.99	  odin	  46.37 MiB	  	  0.93	  47484	  -1	  -1	  2	  0.62	  -1	  -1	  41408	  -1	  -1	  82	  114	  0	  0	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  32504	  114	  193	  455	  648	  1	  312	  389	  13	  13	  169	  clb	  auto	  0.17	  -1	  0.63	  0.00	  1.82099	  -221.865	  -1.82099	  1.82099	  0.42	  0.00104607	  0.000946454	  0.176687	  0.160328	  34	  2388	  24	  6.63067e+06	  4.41931e+06	  352978.	  2088.63	  1.24	  0.45153	  0.416737	  1803	  15	  763	  1002	  86495	  24838	  2.52326	  2.52326	  -269.762	  -2.52326	  0	  0	  434699.	  2572.18	  0.15	  0.08	  0.0463318	  0.0437473	  181	  175	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  ch_intrinsics.v	  common	  3.31	  abc	  37.54 MiB	  	  0.06	  9668	  -1	  -1	  3	  0.35	  -1	  -1	  38444	  -1	  -1	  65	  99	  1	  0	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  31688	  99	  130	  363	  493	  1	  251	  295	  12	  12	  144	  clb	  auto	  0.13	  -1	  0.39	  0.00	  2.26131	  -202.541	  -2.26131	  2.26131	  0.34	  0.000602003	  0.000529897	  0.0962442	  0.0855477	  40	  1536	  15	  5.66058e+06	  4.05111e+06	  333335.	  2314.82	  0.78	  0.243482	  0.220751	  1288	  9	  570	  716	  39914	  13739	  2.76297	  2.76297	  -239.971	  -2.76297	  0	  0	  419432.	  2912.72	  0.13	  0.04	  0.0233443	  0.0221118	  132	  124	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  diffeq1.v	  common	  15.60	  vpr	  43.08 MiB	  	  0.04	  9644	  -1	  -1	  15	  0.51	  -1	  -1	  38780	  -1	  -1	  36	  162	  0	  5	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  44112	  162	  96	  999	  932	  1	  693	  299	  16	  16	  256	  mult_36	  auto	  0.41	  -1	  0.91	  0.01	  19.6233	  -1796.39	  -19.6233	  19.6233	  0.74	  0.00245513	  0.00223116	  0.368411	  0.333943	  54	  12286	  41	  1.21132e+07	  3.92018e+06	  835850.	  3265.04	  10.13	  1.66916	  1.53198	  9806	  14	  2984	  5892	  1943068	  523944	  22.6619	  22.6619	  -2121.6	  -22.6619	  0	  0	  1.08614e+06	  4242.72	  0.35	  0.57	  0.136808	  0.129063	  342	  474	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  diffeq2.v	  common	  15.02	  vpr	  41.73 MiB	  	  0.03	  8792	  -1	  -1	  14	  0.38	  -1	  -1	  37808	  -1	  -1	  29	  66	  0	  7	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  42728	  66	  96	  719	  590	  1	  525	  198	  18	  18	  324	  mult_36	  auto	  0.33	  -1	  0.61	  0.01	  15.851	  -884.112	  -15.851	  15.851	  1.03	  0.00235896	  0.0022091	  0.278665	  0.25443	  40	  10914	  18	  1.57076e+07	  4.33493e+06	  840073.	  2592.82	  9.62	  1.11606	  1.03707	  9280	  20	  2740	  5926	  2093883	  509970	  17.5313	  17.5313	  -1037.2	  -17.5313	  0	  0	  1.05274e+06	  3249.19	  0.38	  0.60	  0.140165	  0.132697	  246	  323	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  mkDelayWorker32B.v	  common	  107.84	  vpr	  298.17 MiB	  	  1.33	  71580	  -1	  -1	  5	  12.55	  -1	  -1	  56672	  -1	  -1	  456	  506	  47	  0	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  305324	  506	  553	  3285	  3838	  1	  3022	  1562	  50	  50	  2500	  memory	  auto	  4.87	  -1	  8.69	  0.07	  6.4311	  -1746.22	  -6.4311	  6.4311	  33.74	  0.0195498	  0.0178882	  4.14148	  3.7282	  38	  22191	  16	  1.47946e+08	  5.03323e+07	  6.86584e+06	  2746.33	  22.45	  9.23978	  8.46458	  21160	  15	  3854	  4877	  3487966	  840453	  7.38502	  7.38502	  -2182.11	  -7.38502	  -6.30698	  -0.200681	  8.69095e+06	  3476.38	  4.43	  1.71	  0.896165	  0.84536	  1053	  407	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  mkPktMerge.v	  common	  20.14	  vpr	  62.16 MiB	  	  0.17	  16796	  -1	  -1	  2	  0.15	  -1	  -1	  37604	  -1	  -1	  27	  311	  15	  0	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  63652	  311	  156	  972	  1128	  1	  953	  509	  28	  28	  784	  memory	  auto	  0.61	  -1	  1.50	  0.01	  4.26648	  -4098.47	  -4.26648	  4.26648	  2.98	  0.00465987	  0.00406483	  0.679867	  0.590539	  36	  14895	  35	  4.25198e+07	  9.67514e+06	  1.94918e+06	  2486.20	  8.21	  2.08058	  1.8497	  13590	  12	  2852	  3209	  2688180	  813846	  4.94109	  4.94109	  -4957.72	  -4.94109	  -11.3907	  -0.339827	  2.40571e+06	  3068.51	  1.08	  0.91	  0.191447	  0.176744	  109	  172	  -1	  -1	  -1	  -1	 
 k6_frac_N10_mem32K_40nm.xml	  mkSMAdapter4B.v	  common	  28.04	  vpr	  59.68 MiB	  	  0.41	  30460	  -1	  -1	  7	  4.56	  -1	  -1	  43608	  -1	  -1	  170	  193	  5	  0	  success	  0c715b6-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-25T01:05:24	  gh-actions-runner-vtr-auto-spawned4	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  61116	  193	  205	  2232	  2437	  1	  1192	  573	  20	  20	  400	  memory	  auto	  1.80	  -1	  3.01	  0.02	  4.45212	  -2495.79	  -4.45212	  4.45212	  1.36	  0.00610377	  0.00544124	  1.15442	  1.00272	  52	  16651	  19	  2.07112e+07	  1.1902e+07	  1.31074e+06	  3276.84	  11.59	  3.51996	  3.10155	  14784	  15	  4132	  10143	  940636	  218186	  5.28541	  5.28541	  -2943.58	  -5.28541	  -9.47595	  -0.299894	  1.72518e+06	  4312.96	  0.64	  0.59	  0.35319	  0.325704	  992	  1183	  -1	  -1	  -1	  -1	 
