 arch	  circuit	  script_params	  vtr_flow_elapsed_time	  vtr_max_mem_stage	  vtr_max_mem	  error	  odin_synth_time	  max_odin_mem	  yosys_synth_time	  max_yosys_mem	  abc_depth	  abc_synth_time	  abc_cec_time	  abc_sec_time	  max_abc_mem	  ace_time	  max_ace_mem	  num_clb	  num_io	  num_memories	  num_mult	  vpr_status	  vpr_revision	  vpr_build_info	  vpr_compiler	  vpr_compiled	  hostname	  rundir	  max_vpr_mem	  num_primary_inputs	  num_primary_outputs	  num_pre_packed_nets	  num_pre_packed_blocks	  num_netlist_clocks	  num_post_packed_nets	  num_post_packed_blocks	  device_width	  device_height	  device_grid_tiles	  device_limiting_resources	  device_name	  pack_time	  placed_wirelength_est	  place_time	  place_quench_time	  placed_CPD_est	  placed_setup_TNS_est	  placed_setup_WNS_est	  placed_geomean_nonvirtual_intradomain_critical_path_delay_est	  place_delay_matrix_lookup_time	  place_quench_timing_analysis_time	  place_quench_sta_time	  place_total_timing_analysis_time	  place_total_sta_time	  min_chan_width	  routed_wirelength	  min_chan_width_route_success_iteration	  logic_block_area_total	  logic_block_area_used	  min_chan_width_routing_area_total	  min_chan_width_routing_area_per_tile	  min_chan_width_route_time	  min_chan_width_total_timing_analysis_time	  min_chan_width_total_sta_time	  crit_path_routed_wirelength	  crit_path_route_success_iteration	  crit_path_total_nets_routed	  crit_path_total_connections_routed	  crit_path_total_heap_pushes	  crit_path_total_heap_pops	  critical_path_delay	  geomean_nonvirtual_intradomain_critical_path_delay	  setup_TNS	  setup_WNS	  hold_TNS	  hold_WNS	  crit_path_routing_area_total	  crit_path_routing_area_per_tile	  router_lookahead_computation_time	  crit_path_route_time	  crit_path_total_timing_analysis_time	  crit_path_total_sta_time	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  arm_core.v	  common	  249.09	  yosys	  554.94 MiB	  	  -1	  -1	  27.56	  568260	  20	  37.74	  -1	  -1	  73024	  -1	  -1	  857	  133	  24	  0	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  250744	  133	  179	  14304	  14161	  1	  7135	  1193	  37	  37	  1369	  clb	  auto	  35.23	  -1	  12.85	  0.09	  17.4679	  -180436	  -17.4679	  17.4679	  3.52	  0.0232267	  0.0200444	  3.56257	  2.94037	  112	  179589	  34	  7.54166e+07	  5.93401e+07	  9.64648e+06	  7046.37	  84.48	  12.4802	  10.5265	  166751	  19	  31901	  123148	  39614877	  9209002	  19.1702	  19.1702	  -199469	  -19.1702	  0	  0	  1.22376e+07	  8939.05	  3.50	  9.31	  1.8691	  1.6832	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  bgm.v	  common	  460.53	  yosys	  1.32 GiB	  	  -1	  -1	  84.14	  1382344	  14	  68.09	  -1	  -1	  154300	  -1	  -1	  2679	  257	  0	  11	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  654744	  257	  32	  35826	  33457	  1	  19699	  2979	  62	  62	  3844	  clb	  auto	  67.64	  -1	  61.54	  0.44	  18.7985	  -23526.5	  -18.7985	  18.7985	  31.14	  0.0772603	  0.0626653	  9.61904	  7.97756	  76	  390248	  24	  2.30929e+08	  1.4874e+08	  1.99380e+07	  5186.80	  85.61	  27.4247	  22.9662	  369066	  19	  90260	  402054	  25396080	  4145463	  21.5826	  21.5826	  -26624.7	  -21.5826	  0	  0	  2.49292e+07	  6485.22	  7.94	  10.39	  5.15006	  4.58445	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  blob_merge.v	  common	  112.00	  yosys	  288.92 MiB	  	  -1	  -1	  21.06	  295852	  5	  6.95	  -1	  -1	  60292	  -1	  -1	  485	  36	  0	  0	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  156508	  36	  100	  10163	  7617	  1	  2777	  621	  28	  28	  784	  clb	  auto	  26.34	  -1	  7.15	  0.05	  13.564	  -2218.81	  -13.564	  13.564	  2.89	  0.0176681	  0.0154173	  2.52321	  2.14866	  72	  69668	  20	  4.25198e+07	  2.61386e+07	  3.68518e+06	  4700.49	  32.08	  8.22224	  6.96487	  63665	  15	  12739	  66552	  3003653	  430259	  15.9697	  15.9697	  -2594.03	  -15.9697	  0	  0	  4.61751e+06	  5889.69	  1.23	  1.26	  0.782666	  0.713261	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  boundtop.v	  common	  16.09	  yosys	  68.29 MiB	  	  -1	  -1	  6.75	  69924	  3	  1.17	  -1	  -1	  41552	  -1	  -1	  50	  196	  1	  0	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  42984	  196	  193	  1406	  1499	  1	  667	  440	  15	  15	  225	  io	  auto	  1.13	  -1	  1.02	  0.01	  2.85726	  -989.038	  -2.85726	  2.85726	  0.64	  0.00265155	  0.00233698	  0.396395	  0.353458	  38	  5781	  16	  1.03862e+07	  3.2427e+06	  544116.	  2418.30	  2.19	  1.10471	  1.00089	  5164	  11	  1481	  2007	  170300	  47782	  3.34733	  3.34733	  -1216.99	  -3.34733	  0	  0	  690508.	  3068.92	  0.23	  0.16	  0.126594	  0.120026	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  ch_intrinsics.v	  common	  4.26	  abc	  36.38 MiB	  	  -1	  -1	  0.37	  19640	  3	  0.10	  -1	  -1	  37252	  -1	  -1	  73	  99	  1	  0	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  33528	  99	  130	  347	  477	  1	  226	  303	  13	  13	  169	  clb	  auto	  0.25	  -1	  0.40	  0.00	  1.6034	  -111.368	  -1.6034	  1.6034	  0.40	  0.000540321	  0.00048161	  0.0940844	  0.083073	  36	  1517	  15	  6.63067e+06	  4.48226e+06	  367804.	  2176.36	  1.38	  0.299274	  0.2705	  1310	  11	  399	  628	  45983	  15400	  2.01245	  2.01245	  -142.418	  -2.01245	  0	  0	  456020.	  2698.35	  0.14	  0.04	  0.0246627	  0.023317	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  diffeq1.v	  common	  12.02	  vpr	  42.57 MiB	  	  -1	  -1	  0.62	  25704	  8	  0.25	  -1	  -1	  37904	  -1	  -1	  31	  162	  0	  3	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  43592	  162	  96	  1072	  951	  1	  668	  292	  14	  14	  196	  mult_36	  auto	  0.59	  -1	  0.71	  0.01	  14.2779	  -1216.76	  -14.2779	  14.2779	  0.52	  0.00166853	  0.00148511	  0.248903	  0.220744	  72	  8155	  27	  9.20055e+06	  2.85871e+06	  844708.	  4309.73	  6.87	  1.11432	  1.00974	  7713	  22	  2519	  4425	  1156588	  270871	  15.9497	  15.9497	  -1409.2	  -15.9497	  0	  0	  1.05868e+06	  5401.43	  0.30	  0.39	  0.133889	  0.125369	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  diffeq2.v	  common	  8.46	  vpr	  39.80 MiB	  	  -1	  -1	  0.50	  24628	  9	  0.31	  -1	  -1	  37668	  -1	  -1	  31	  66	  0	  3	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  40756	  66	  96	  827	  706	  1	  507	  196	  14	  14	  196	  mult_36	  auto	  0.61	  -1	  0.58	  0.01	  11.1869	  -715.714	  -11.1869	  11.1869	  0.52	  0.00143101	  0.00125841	  0.211925	  0.18709	  66	  7445	  22	  9.20055e+06	  2.85871e+06	  787562.	  4018.17	  3.61	  0.692371	  0.626644	  6890	  20	  2484	  4992	  1144987	  267165	  12.667	  12.667	  -831.824	  -12.667	  0	  0	  978561.	  4992.66	  0.30	  0.35	  0.106042	  0.0994306	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  mkDelayWorker32B.v	  common	  101.48	  vpr	  308.50 MiB	  	  -1	  -1	  24.71	  275804	  5	  4.24	  -1	  -1	  71608	  -1	  -1	  459	  506	  43	  0	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  315900	  506	  553	  3230	  3728	  1	  2859	  1561	  50	  50	  2500	  memory	  auto	  7.48	  -1	  5.01	  0.04	  6.30584	  -1771.36	  -6.30584	  6.30584	  22.71	  0.0118295	  0.0105695	  2.4138	  2.19077	  38	  23080	  15	  1.47946e+08	  4.83019e+07	  6.86579e+06	  2746.32	  13.52	  4.63422	  4.27643	  21979	  17	  4316	  5392	  3882369	  965338	  7.16749	  7.16749	  -2245.22	  -7.16749	  0	  0	  8.69102e+06	  3476.41	  2.86	  1.19	  0.675301	  0.643848	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  mkPktMerge.v	  common	  31.07	  yosys	  91.06 MiB	  	  -1	  -1	  2.51	  93244	  2	  0.29	  -1	  -1	  43512	  -1	  -1	  28	  311	  15	  0	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  68340	  311	  156	  1010	  1153	  1	  961	  510	  28	  28	  784	  memory	  auto	  0.88	  -1	  1.49	  0.01	  4.32456	  -4095.37	  -4.32456	  4.32456	  2.82	  0.00423186	  0.00365995	  0.670326	  0.58196	  38	  14607	  14	  4.25198e+07	  9.72903e+06	  2.03941e+06	  2601.29	  15.76	  1.9596	  1.74688	  12963	  13	  2806	  3091	  2026077	  579805	  4.68904	  4.68904	  -4923.4	  -4.68904	  -0.00135869	  -0.00135869	  2.58563e+06	  3298.00	  1.04	  0.69	  0.194859	  0.181179	 
 k6_frac_N10_frac_chain_mem32K_40nm.xml	  mkSMAdapter4B.v	  common	  42.13	  yosys	  73.64 MiB	  	  -1	  -1	  8.97	  75412	  5	  2.42	  -1	  -1	  42432	  -1	  -1	  176	  193	  5	  0	  success	  e8f4181-dirty	  release IPO VTR_ASSERT_LEVEL=2	  GNU 9.4.0 on Linux-5.10.35-v8 x86_64	  2022-07-21T14:19:01	  gh-actions-runner-vtr-auto-spawned38	  /root/vtr-verilog-to-routing/vtr-verilog-to-routing	  62988	  193	  205	  2765	  2699	  1	  1386	  579	  20	  20	  400	  memory	  auto	  3.91	  -1	  3.43	  0.02	  4.68589	  -2644.39	  -4.68589	  4.68589	  1.32	  0.00625334	  0.00550255	  1.24308	  1.08742	  50	  22796	  39	  2.07112e+07	  1.22253e+07	  1.26946e+06	  3173.65	  16.76	  2.73926	  2.41468	  18321	  16	  5546	  14586	  1405277	  340262	  5.36589	  5.36589	  -3159.77	  -5.36589	  0	  0	  1.63222e+06	  4080.54	  0.38	  0.46	  0.243562	  0.227533	 
