Netlist file: e64.net   Architecture file: sample.arch
block	x	y	name	subblock
0	0	2	i_63_	0
1	0	15	i_50_	1
2	1	0	i_64_	0
3	2	18	i_61_	0
4	4	18	i_62_	1
5	18	16	i_40_	1
6	15	0	i_30_	0
7	5	0	i_20_	1
8	0	14	i_9_	1
9	18	14	i_10_	1
10	13	18	i_7_	1
11	14	18	i_8_	1
12	0	6	i_5_	1
13	18	12	i_6_	0
14	16	0	i_27_	0
15	18	8	i_14_	1
16	8	18	i_3_	0
17	18	16	i_39_	0
18	18	3	i_28_	0
19	5	0	i_13_	0
20	8	18	i_4_	1
21	18	6	i_25_	0
22	8	0	i_12_	0
23	0	4	i_1_	0
24	18	2	i_26_	1
25	18	10	i_11_	0
26	0	7	i_2_	0
27	0	14	i_49_	0
28	11	0	i_23_	0
29	14	0	i_18_	0
30	18	4	i_24_	0
31	0	5	i_17_	1
32	9	18	i_0_	0
33	4	0	i_21_	1
34	6	0	i_16_	1
35	0	16	i_59_	1
36	15	0	i_22_	1
37	18	2	i_15_	0
38	17	18	i_58_	0
39	0	6	i_45_	0
40	9	0	i_32_	1
41	0	2	i_57_	1
42	0	11	i_46_	1
43	0	11	i_31_	0
44	3	18	i_56_	1
45	0	9	i_47_	0
46	0	12	i_34_	1
47	2	18	i_55_	1
48	0	12	i_48_	0
49	0	10	i_33_	1
50	12	0	i_19_	1
51	1	18	i_54_	0
52	15	18	i_41_	0
53	9	0	i_36_	0
54	4	18	i_60_	0
55	0	17	i_53_	0
56	7	18	i_42_	1
57	3	18	i_35_	0
58	2	0	i_52_	0
59	18	14	i_43_	0
60	14	0	i_38_	1
61	17	0	i_29_	0
62	0	15	i_51_	0
63	10	0	i_44_	1
64	18	3	i_37_	1
65	5	18	out:o_1_	0
66	0	1	out:o_19_	1
67	12	0	out:o_2_	0
68	5	18	out:o_0_	1
69	18	15	out:o_29_	0
70	18	11	out:o_60_	0
71	9	18	out:o_39_	1
72	6	18	out:o_38_	0
73	18	5	out:o_25_	1
74	18	6	out:o_12_	1
75	10	0	out:o_37_	0
76	8	0	out:o_26_	1
77	18	4	out:o_11_	1
78	0	3	out:o_50_	0
79	11	18	out:o_36_	1
80	4	0	out:o_27_	0
81	16	18	out:o_14_	0
82	7	18	out:o_35_	0
83	18	5	out:o_28_	0
84	18	9	out:o_13_	1
85	18	12	out:o_34_	1
86	12	18	out:o_21_	1
87	13	18	out:o_16_	0
88	0	13	out:o_40_	1
89	16	18	out:o_33_	1
90	6	0	out:o_22_	0
91	18	17	out:o_15_	0
92	18	15	out:o_32_	1
93	7	0	out:o_23_	0
94	18	11	out:o_18_	1
95	3	0	out:o_31_	0
96	18	9	out:o_24_	0
97	12	18	out:o_17_	0
98	7	0	out:o_56_	1
99	0	7	out:o_43_	1
100	3	0	out:o_30_	1
101	11	18	out:o_55_	0
102	0	8	out:o_44_	1
103	18	7	out:o_58_	1
104	0	10	out:o_41_	0
105	18	10	out:o_57_	1
106	0	4	out:o_42_	1
107	10	18	out:o_20_	1
108	0	3	out:o_52_	1
109	0	9	out:o_47_	1
110	0	5	out:o_51_	0
111	0	13	out:o_48_	0
112	10	18	out:o_54_	0
113	6	18	out:o_45_	1
114	18	1	out:o_10_	0
115	0	1	out:o_53_	0
116	0	8	out:o_46_	0
117	14	18	out:o_61_	0
118	11	0	out:o_9_	1
119	18	13	out:o_62_	0
120	15	18	out:o_63_	1
121	0	16	out:o_49_	0
122	18	7	out:o_7_	0
123	18	8	out:o_64_	0
124	13	0	out:o_8_	1
125	17	0	out:o_5_	1
126	18	17	out:o_59_	1
127	18	13	out:o_6_	1
128	13	0	out:o_3_	0
129	18	1	out:o_4_	1
130	5	14	o_1_	0
131	1	1	o_19_	0
132	12	1	o_2_	0
133	5	16	o_0_	0
134	17	15	o_29_	0
135	14	11	o_60_	0
136	9	15	o_39_	0
137	6	17	o_38_	0
138	16	5	o_25_	0
139	12	6	o_12_	0
140	10	1	o_37_	0
141	8	1	o_26_	0
142	17	4	o_11_	0
143	1	3	o_50_	0
144	11	17	o_36_	0
145	4	1	o_27_	0
146	16	17	o_14_	0
147	7	16	o_35_	0
148	17	5	o_28_	0
149	16	9	o_13_	0
150	17	12	o_34_	0
151	12	15	o_21_	0
152	13	16	o_16_	0
153	2	13	o_40_	0
154	16	16	o_33_	0
155	6	2	o_22_	0
156	17	17	o_15_	0
157	16	15	o_32_	0
158	7	2	o_23_	0
159	13	11	o_18_	0
160	3	2	o_31_	0
161	17	9	o_24_	0
162	12	17	o_17_	0
163	7	1	o_56_	0
164	3	7	o_43_	0
165	3	1	o_30_	0
166	11	16	o_55_	0
167	1	8	o_44_	0
168	13	7	o_58_	0
169	4	10	o_41_	0
170	16	10	o_57_	0
171	2	4	o_42_	0
172	10	14	o_20_	0
173	5	4	o_52_	0
174	4	9	o_47_	0
175	3	5	o_51_	0
176	4	13	o_48_	0
177	10	17	o_54_	0
178	6	14	o_45_	0
179	17	3	o_10_	0
180	1	2	o_53_	0
181	3	8	o_46_	0
182	14	17	o_61_	0
183	11	1	o_9_	0
184	12	13	o_62_	0
185	15	14	o_63_	0
186	2	16	o_49_	0
187	17	7	o_7_	0
188	15	8	o_64_	0
189	13	1	o_8_	0
190	17	16	o_59_	0
191	17	13	o_6_	0
192	13	2	o_3_	0
193	17	2	o_4_	0
194	6	8	n_n238	0
195	5	13	[74]	0
196	2	14	[87]	0
197	7	8	n_n302	0
198	11	2	n_n39	0
199	11	9	[95]	0
200	8	9	[129]	0
201	6	5	[131]	0
202	3	16	[102]	0
203	7	15	n_n268	0
204	10	15	[70]	0
205	6	15	[97]	0
206	16	6	n_n366	0
207	15	12	[88]	0
208	14	5	n_n318	0
209	11	4	[91]	0
210	11	12	[107]	0
211	10	8	n_n338	0
212	12	5	[73]	0
213	10	2	[124]	0
214	4	6	[72]	0
215	2	9	[90]	0
216	3	4	n_n297	0
217	5	17	n_n278	0
218	10	11	n_n369	0
219	17	11	[132]	0
220	13	13	[100]	0
221	13	15	[120]	0
222	15	10	[78]	0
223	8	8	[130]	0
224	12	3	[110]	0
225	4	2	[89]	0
226	2	2	[96]	0
227	16	7	n_n365	0
228	5	7	n_n271	0
229	6	7	[69]	0
230	12	16	[106]	0
231	1	13	n_n300	0
232	4	8	[94]	0
233	14	3	n_n387	0
234	12	9	n_n392	0
235	14	13	n_n344	0
236	7	9	[77]	0
237	9	7	n_n343	0
238	7	7	n_n330	0
239	6	9	[93]	0
240	12	4	[134]	0
241	11	10	n_n303	0
242	5	10	n_n304	0
243	9	10	n_n293	0
244	13	14	n_n368	0
245	10	12	[115]	0
246	8	11	[109]	0
247	10	4	n_n49	0
248	10	9	n_n292	0
249	4	15	n_n332	0
250	8	5	n_n236	0
251	7	13	n_n277	0
252	13	5	n_n319	0
253	1	11	n_n301	0
254	10	10	n_n395	0
255	15	11	[121]	0
256	4	16	n_n286	0
257	2	17	n_n212	0
258	6	6	[65]	0
259	17	1	o_5_	0
260	12	12	[768]	0
261	1	9	[772]	0
262	13	3	[774]	0
263	15	4	[775]	0
264	8	14	[776]	0
265	8	13	[777]	0
266	3	15	[780]	0
267	3	17	[781]	0
268	6	10	[783]	0
269	3	14	[784]	0
270	2	6	[787]	0
271	8	6	[790]	0
272	9	5	[793]	0
273	3	12	[795]	0
274	2	11	[801]	0
275	2	3	[802]	0
276	7	5	[804]	0
277	5	2	[807]	0
278	7	4	[808]	0
279	12	2	[809]	0
280	3	13	[813]	0
281	5	15	[815]	0
282	3	6	[816]	0
283	9	3	[817]	0
284	14	2	[819]	0
285	10	7	[820]	0
286	12	7	[823]	0
287	7	12	[825]	0
288	4	17	[827]	0
289	6	11	[829]	0
290	6	12	[830]	0
291	16	14	[832]	0
292	14	15	[834]	0
293	14	8	[839]	0
294	14	12	[840]	0
295	13	12	[842]	0
296	12	11	[843]	0
297	9	13	[844]	0
298	9	12	[847]	0
299	11	15	[849]	0
300	8	15	[851]	0
301	7	17	[854]	0
302	15	13	[856]	0
303	14	14	[857]	0
304	11	11	[861]	0
305	13	8	[862]	0
