arch_id,wire_name,mux_name,num
L5_int_10um_bump,L5,L5_int_driver_10um_bump,3
L9_int_10um_bump,L9,L9_int_driver_10um_bump,3
L13_int_10um_bump,L13,L13_int_driver_10um_bump,3
L17_int_10um_bump,L17,L17_int_driver_10um_bump,3
L21_int_10um_bump,L21,L21_int_driver_10um_bump,3
L25_int_10um_bump,L25,L25_int_driver_10um_bump,3
L29_int_10um_bump,L29,L29_int_driver_10um_bump,3
L33_int_10um_bump,L33,L33_int_driver_10um_bump,3
L37_int_10um_bump,L37,L37_int_driver_10um_bump,3
L5_int_5um_bump,L5,L5_int_driver_5um_bump,12
L9_int_5um_bump,L9,L9_int_driver_5um_bump,12
L13_int_5um_bump,L13,L13_int_driver_5um_bump,12
L17_int_5um_bump,L17,L17_int_driver_5um_bump,12
L21_int_5um_bump,L21,L21_int_driver_5um_bump,12
L25_int_5um_bump,L25,L25_int_driver_5um_bump,12
L29_int_5um_bump,L29,L29_int_driver_5um_bump,12
L33_int_5um_bump,L33,L33_int_driver_5um_bump,12
L37_int_5um_bump,L37,L37_int_driver_5um_bump,12
