arch	circuit	script_params	vtr_flow_elapsed_time	error	odin_synth_time	max_odin_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_time	placed_wirelength_est	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	total_power	routing_power_perc	clock_power_perc	tile_power_perc	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	bgm.v	common	1002.76		22.54	392628	22	484.87	-1	-1	152564	-1	-1	2577	257	0	11	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	694504	257	32	32168	31683	1	18846	2877	61	61	3721	clb	auto	26.22	248262	66.64	0.46	16.1566	-22531.6	-16.1566	16.1566	32.83	0.0782438	0.0564755	9.8695	7.26509	78	389797	32	2.18169e+08	1.43244e+08	1.95891e+07	5264.48	241.23	42.8957	33.3179	366085	22	98144	432924	25406325	4095083	18.6941	18.6941	-25477	-18.6941	0	0	2.48035e+07	6665.81	7.58	11.18	5.0928	4.31523	0.1661	0.4522	0.02583	0.522	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	blob_merge.v	common	176.37		0.63	59296	18	83.90	-1	-1	67772	-1	-1	550	36	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	155232	36	100	6600	6700	1	2867	686	30	30	900	clb	auto	5.34	44762	9.99	0.03	8.63778	-2522.46	-8.63778	8.63778	2.18	0.0107005	0.00911638	4.08545	3.08985	68	74187	37	4.8774e+07	2.96417e+07	4.08678e+06	4540.87	48.69	10.2662	8.17288	63873	14	12588	62114	2688244	348253	9.86001	9.86001	-2850.16	-9.86001	0	0	5.07014e+06	5633.48	1.25	2.01	1.28752	1.09941	0.0241	0.394	0.04131	0.5647	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	boundtop.v	common	5.37		0.73	46996	2	0.43	-1	-1	37096	-1	-1	84	114	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	66180	114	192	455	647	1	309	390	13	13	169	clb	auto	0.07	749	0.36	0.00	1.5681	-199.971	-1.5681	1.5681	0.22	0.000601647	0.000526337	0.101817	0.0892152	38	1909	18	6.63067e+06	4.5271e+06	384612.	2275.81	1.04	0.279876	0.251151	1613	8	646	807	49022	15408	2.13287	2.13287	-254.934	-2.13287	0	0	489150.	2894.38	0.08	0.03	0.0159116	0.0147728	0.006178	0.4297	0.1195	0.4508	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	ch_intrinsics.v	common	3.38		0.04	9280	3	0.28	-1	-1	36156	-1	-1	68	99	1	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	64924	99	130	363	493	1	256	298	12	12	144	clb	auto	0.09	706	0.28	0.00	1.86328	-198.021	-1.86328	1.86328	0.26	0.000421259	0.000369279	0.0776921	0.067166	46	1510	15	5.66058e+06	4.21279e+06	378970.	2631.74	0.92	0.230073	0.203412	1419	13	512	678	54408	17907	2.4649	2.4649	-230.915	-2.4649	0	0	486261.	3376.82	0.08	0.03	0.0158575	0.014549	0.00814	0.2379	0.08094	0.6811	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	diffeq1.v	common	9.29		0.04	9032	15	0.31	-1	-1	34524	-1	-1	39	162	0	5	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	79268	162	96	999	932	1	698	302	16	16	256	mult_36	auto	0.21	5215	0.51	0.01	20.0279	-1731.76	-20.0279	20.0279	0.38	0.00155531	0.00142432	0.216254	0.193862	50	11710	30	1.21132e+07	4.08187e+06	780512.	3048.87	4.81	0.752964	0.684792	9689	15	2920	5783	1711731	425773	22.9164	22.9164	-1951.82	-22.9164	0	0	1.00276e+06	3917.05	0.17	0.31	0.0752097	0.070318	0.007591	0.3632	0.01662	0.6202	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	diffeq2.v	common	10.69		0.03	8228	14	0.27	-1	-1	33500	-1	-1	26	66	0	7	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	69668	66	96	719	590	1	525	195	18	18	324	mult_36	auto	0.17	4839	0.37	0.00	15.5034	-893.993	-15.5034	15.5034	0.53	0.00141581	0.00131375	0.192381	0.17528	50	10126	22	1.57076e+07	4.17324e+06	1.01953e+06	3146.70	6.13	0.675446	0.621617	9219	16	2344	5156	2185950	507264	18.2221	18.2221	-1041.48	-18.2221	0	0	1.31112e+06	4046.65	0.23	0.38	0.0710254	0.0668701	0.009383	0.3437	0.02034	0.6359	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	LU8PEEng.v	common	908.25		19.48	227544	129	270.75	-1	-1	100788	-1	-1	2016	114	44	8	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	587688	114	102	29578	29304	1	16033	2284	54	54	2916	clb	auto	22.87	233317	64.85	0.30	70.0908	-60679	-70.0908	70.0908	22.13	0.0567832	0.0481729	12.0188	9.00221	104	338815	35	1.70873e+08	1.35934e+08	1.97479e+07	6772.27	380.05	43.179	33.7117	315352	20	64444	251879	56108125	13858139	81.2538	81.2538	-73871.7	-81.2538	-12.6553	-0.198548	2.50445e+07	8588.64	6.85	18.80	4.0211	3.34222	0.1065	0.4335	0.01057	0.5559	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	LU32PEEng.v	common	7372.28		172.34	770504	128	1444.40	-1	-1	298624	-1	-1	6990	114	167	32	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	2120044	114	102	102506	101104	1	55876	7405	99	99	9801	clb	auto	84.52	1092627	419.60	2.31	70.3702	-351790	-70.3702	70.3702	82.63	0.246403	0.206568	39.4933	29.7667	136	1450816	39	6.00857e+08	4.8087e+08	8.62665e+07	8801.80	4644.97	176.002	138.264	1368556	21	209385	886789	342852879	95079904	79.9323	79.9323	-489293	-79.9323	-31.3319	-0.29436	1.09657e+08	11188.4	32.16	119.24	17.0317	14.2451	0.4236	0.4814	0.009229	0.5093	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	mcml.v	common	10430.62		67.98	954196	75	8216.46	-1	-1	447752	-1	-1	7355	36	159	27	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	1956248	36	33	134466	132924	1	42731	7610	102	102	10404	clb	auto	61.48	523379	186.96	1.16	58.9597	-331654	-58.9597	58.9597	80.66	0.171883	0.14394	29.6716	22.3974	82	733160	42	6.36957e+08	4.94176e+08	5.83608e+07	5609.45	1330.09	115.143	91.5627	677500	21	167473	518593	81968438	17553658	64.9338	64.9338	-432445	-64.9338	-0.789768	-0.17036	7.31293e+07	7028.96	21.01	27.00	11.5251	9.93002	0.2977	0.3711	0.0137	0.6152	
k6_N10_I40_Fi6_L4_frac1_ff1_45nm.xml	mkDelayWorker32B.v	common	88.17		1.13	78796	5	7.84	-1	-1	52380	-1	-1	456	506	47	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	319280	506	553	3285	3838	1	3022	1562	50	50	2500	memory	auto	2.94	15018	5.08	0.04	5.96658	-1843.78	-5.96658	5.96658	19.98	0.0117001	0.0105915	2.55946	2.29342	38	22736	27	1.47946e+08	5.03323e+07	6.86584e+06	2746.33	30.88	7.95399	7.27851	22040	16	4096	5145	3590122	925407	6.60387	6.60387	-2306.35	-6.60387	-4.22558	-0.295467	8.69095e+06	3476.38	2.82	1.11	0.537397	0.504915	0.1833	0.1385	0.03978	0.8217	
