arch	circuit	script_params	vtr_flow_elapsed_time	error	odin_synth_time	max_odin_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_time	placed_wirelength_est	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	total_power	routing_power_perc	clock_power_perc	tile_power_perc	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	bgm.v	common	996.18		24.11	392624	22	457.33	-1	-1	152636	-1	-1	3241	257	0	11	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	697664	257	32	32168	31683	1	18834	3541	69	69	4761	clb	auto	12.54	272663	104.20	0.61	16.0544	-23810.1	-16.0544	16.0544	39.75	0.0686501	0.0581941	11.2309	8.30308	72	421149	26	2.85477e+08	1.79025e+08	2.26653e+07	4760.63	217.54	43.9413	34.5636	396386	19	86912	410164	24647680	4045668	18.3051	18.3051	-26433.6	-18.3051	0	0	2.84096e+07	5967.16	9.56	12.95	6.60088	5.56121	0.176	0.485	0.0303	0.4847	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	blob_merge.v	common	160.77		0.45	59324	18	81.60	-1	-1	67688	-1	-1	685	36	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	157052	36	100	6600	6700	1	2841	821	33	33	1089	clb	auto	1.90	49880	5.37	0.04	9.11388	-2669.3	-9.11388	9.11388	2.50	0.0106408	0.00902749	1.68607	1.2263	58	78148	39	6.0475e+07	3.69175e+07	4.04653e+06	3715.82	49.10	7.17606	5.76709	69473	14	12378	69462	3117547	388750	10.1476	10.1476	-2988.64	-10.1476	0	0	5.16078e+06	4739.01	1.23	1.29	0.677391	0.599031	0.02438	0.3962	0.04361	0.5602	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	boundtop.v	common	6.28		0.71	46972	2	0.57	-1	-1	37096	-1	-1	89	114	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	66172	114	192	455	647	1	308	395	14	14	196	clb	auto	0.09	736	0.36	0.00	1.76159	-209.498	-1.76159	1.76159	0.28	0.000584678	0.000515708	0.0983276	0.0862735	36	2153	23	9.20055e+06	4.79657e+06	427814.	2182.73	1.52	0.295519	0.263969	1732	10	542	787	55965	15257	2.29042	2.29042	-260.053	-2.29042	0	0	528560.	2696.73	0.15	0.05	0.0302233	0.0277977	0.006247	0.4018	0.129	0.4692	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	ch_intrinsics.v	common	3.72		0.05	9228	3	0.28	-1	-1	36108	-1	-1	70	99	1	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	64036	99	130	363	493	1	254	300	12	12	144	clb	auto	0.07	624	0.27	0.00	1.9342	-205.561	-1.9342	1.9342	0.26	0.000420454	0.000368236	0.0728933	0.0630404	36	1776	21	5.66058e+06	4.32058e+06	292866.	2033.79	1.15	0.219287	0.192795	1461	12	598	830	76776	25694	2.6407	2.6407	-248.082	-2.6407	0	0	363034.	2521.07	0.09	0.05	0.0254275	0.0233243	0.00729	0.2201	0.07406	0.7058	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	diffeq1.v	common	13.22		0.04	9144	15	0.48	-1	-1	34588	-1	-1	52	162	0	5	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	78820	162	96	999	932	1	707	315	16	16	256	mult_36	auto	0.25	5402	0.91	0.01	20.0113	-1727.78	-20.0113	20.0113	0.61	0.00338847	0.00310892	0.403941	0.359303	52	11718	35	1.21132e+07	4.78249e+06	771607.	3014.09	7.25	1.04816	0.945674	9869	20	3159	6858	2186883	579440	22.1421	22.1421	-1952.73	-22.1421	0	0	1.01513e+06	3965.34	0.18	0.39	0.0892249	0.0832632	0.007598	0.3771	0.01802	0.6049	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	diffeq2.v	common	14.19		0.02	8228	14	0.32	-1	-1	33492	-1	-1	37	66	0	7	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	69732	66	96	719	590	1	552	206	18	18	324	mult_36	auto	0.20	4964	0.80	0.01	15.2103	-911.934	-15.2103	15.2103	0.86	0.00316724	0.00291963	0.432401	0.393932	38	12603	25	1.57076e+07	4.76608e+06	768853.	2373.00	7.71	1.04453	0.959193	10465	19	2941	6917	2782951	674398	17.613	17.613	-1073	-17.613	0	0	971792.	2999.36	0.32	0.78	0.157262	0.148259	0.008925	0.3264	0.01978	0.6538	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	LU8PEEng.v	common	1078.19		21.20	227532	129	258.81	-1	-1	100820	-1	-1	2654	114	44	8	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	602232	114	102	29578	29304	1	15480	2922	62	62	3844	clb	auto	12.14	231440	68.57	0.36	74.447	-57558.1	-74.447	74.447	28.18	0.0683549	0.0484705	11.7172	8.54631	74	345516	35	2.30929e+08	1.70314e+08	1.86412e+07	4849.42	572.48	39.4707	30.3522	322242	21	58780	244354	38044494	7494189	86.8479	86.8479	-74857.6	-86.8479	-13.2074	-0.293253	2.32921e+07	6059.34	6.83	12.38	4.21141	3.46641	0.1006	0.4297	0.01197	0.5584	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	LU32PEEng.v	common	4802.37		169.65	770560	128	1480.56	-1	-1	298640	-1	-1	9168	114	167	32	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	2182068	114	102	102506	101104	1	54645	9583	113	113	12769	clb	auto	57.57	1112759	598.94	2.87	75.4885	-376364	-75.4885	75.4885	80.55	0.25457	0.211431	43.5632	32.7369	106	1477755	46	7.84268e+08	5.98238e+08	8.53330e+07	6682.83	1879.38	172.359	135.102	1390670	18	192854	861898	244824100	63341117	85.4957	85.4957	-505886	-85.4957	-25.031	-0.172573	1.08019e+08	8459.43	37.33	92.77	16.9632	14.5404	0.4082	0.4932	0.0107	0.4961	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	mcml.v	common	12558.62		67.96	954112	75	9020.24	-1	-1	447752	-1	-1	8821	36	159	27	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	1959676	36	33	134466	132924	1	42854	9076	111	111	12321	clb	auto	45.18	575706	333.87	2.01	60.7822	-295117	-60.7822	60.7822	77.75	0.185888	0.154855	36.2428	27.7376	72	778217	49	7.58755e+08	5.73176e+08	5.96025e+07	4837.47	2414.79	132.258	106.03	727476	19	143272	491382	85992415	20238847	67.3582	67.3582	-447037	-67.3582	-0.103902	-0.0259755	7.48566e+07	6075.53	29.25	33.44	12.979	10.9948	0.302	0.3843	0.01466	0.6011	
k6_N10_I40_Fi6_L4_frac0_ff1_45nm.xml	mkDelayWorker32B.v	common	84.85		0.92	78736	5	11.67	-1	-1	52380	-1	-1	503	506	47	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	267320	506	553	3285	3838	1	3016	1609	50	50	2500	memory	auto	3.48	14770	5.49	0.04	6.53689	-1745.91	-6.53689	6.53689	18.68	0.011478	0.0104038	2.76336	2.47792	38	22734	16	1.47946e+08	5.28654e+07	6.57953e+06	2631.81	25.67	7.52918	6.89426	21776	15	4094	5229	3971502	1020635	7.2002	7.2002	-2141.68	-7.2002	-1.75953	-0.218188	8.28755e+06	3315.02	2.59	1.12	0.51092	0.480739	0.1667	0.1414	0.03866	0.8199	
