arch	circuit	script_params	vtr_flow_elapsed_time	error	odin_synth_time	max_odin_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_time	placed_wirelength_est	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	total_power	routing_power_perc	clock_power_perc	tile_power_perc	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	bgm.v	common	996.00		22.76	392552	22	484.66	-1	-1	152608	-1	-1	3236	257	0	11	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	696420	257	32	32168	31683	1	18840	3536	69	69	4761	clb	auto	12.75	268683	88.75	0.77	16.6755	-23588.6	-16.6755	16.6755	35.99	0.0685939	0.0581003	9.92569	7.33289	66	415301	39	2.85477e+08	1.78756e+08	2.12066e+07	4454.23	208.60	40.8397	32.0344	392814	19	94025	445220	23579087	3649236	18.8456	18.8456	-26085.3	-18.8456	0	0	2.62127e+07	5505.72	9.41	12.87	6.10538	5.12512	0.4132	0.5778	0.009963	0.4123	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	blob_merge.v	common	163.11		0.51	59312	18	85.26	-1	-1	67664	-1	-1	693	36	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	156548	36	100	6600	6700	1	2812	829	33	33	1089	clb	auto	2.76	49117	5.91	0.05	9.00635	-2550.31	-9.00635	9.00635	4.65	0.021806	0.0161817	1.90562	1.41555	58	75913	46	6.0475e+07	3.73487e+07	4.04653e+06	3715.82	41.19	8.6833	7.02027	68205	13	12026	67946	2984964	374164	10.0384	10.0384	-2844.79	-10.0384	0	0	5.16078e+06	4739.01	1.25	1.25	0.665477	0.58228	0.0724	0.5442	0.009035	0.4468	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	boundtop.v	common	5.35		0.65	47004	2	0.37	-1	-1	37032	-1	-1	89	114	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	66368	114	192	455	647	1	308	395	14	14	196	clb	auto	0.09	759	0.31	0.00	1.6727	-215.299	-1.6727	1.6727	0.28	0.000601197	0.000524328	0.0837469	0.0730603	30	2171	17	9.20055e+06	4.79657e+06	375824.	1917.47	1.29	0.262802	0.234885	1889	9	584	863	65781	17855	2.22723	2.22723	-273.702	-2.22723	0	0	464326.	2369.01	0.09	0.03	0.0161	0.0149204	0.008546	0.539	0.03692	0.4241	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	ch_intrinsics.v	common	3.22		0.05	9352	3	0.19	-1	-1	36108	-1	-1	70	99	1	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	64504	99	130	363	493	1	254	300	12	12	144	clb	auto	0.07	650	0.26	0.00	1.98229	-203.664	-1.98229	1.98229	0.18	0.000422446	0.000371088	0.0726229	0.0626495	38	1539	19	5.66058e+06	4.32058e+06	306247.	2126.71	0.95	0.229358	0.202873	1364	11	498	718	49506	17330	2.41077	2.41077	-237.454	-2.41077	0	0	388532.	2698.14	0.09	0.04	0.0237922	0.0218133	0.008025	0.4683	0.03177	0.4999	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	diffeq1.v	common	8.45		0.04	9056	15	0.30	-1	-1	34548	-1	-1	52	162	0	5	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	78956	162	96	999	932	1	707	315	16	16	256	mult_36	auto	0.25	5449	0.57	0.01	19.6298	-1714.57	-19.6298	19.6298	0.38	0.00162281	0.00148249	0.232576	0.208213	46	12294	42	1.21132e+07	4.78249e+06	696785.	2721.82	3.66	0.703549	0.638643	10169	20	3095	6756	2162390	571562	22.2543	22.2543	-1981.03	-22.2543	0	0	894618.	3494.60	0.16	0.39	0.09022	0.0840685	0.01466	0.5784	0.007708	0.4139	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	diffeq2.v	common	11.01		0.02	8264	14	0.34	-1	-1	33480	-1	-1	37	66	0	7	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	69840	66	96	719	590	1	552	206	18	18	324	mult_36	auto	0.19	4999	0.43	0.00	15.1924	-898.447	-15.1924	15.1924	0.53	0.00141419	0.00130537	0.205988	0.187271	46	12114	41	1.57076e+07	4.76608e+06	907093.	2799.67	6.09	0.748677	0.68775	9933	21	2835	6543	3130704	735040	17.4114	17.4114	-1054.2	-17.4114	0	0	1.16496e+06	3595.55	0.21	0.48	0.0818561	0.0763921	0.01788	0.5725	0.008565	0.4189	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	LU8PEEng.v	common	1113.60		20.34	227632	129	275.28	-1	-1	100716	-1	-1	2649	114	44	8	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	601916	114	102	29578	29304	1	15497	2917	62	62	3844	clb	auto	13.06	237129	62.44	0.36	72.5287	-56507.2	-72.5287	72.5287	25.66	0.056505	0.0484137	9.82269	7.10417	78	347366	30	2.30929e+08	1.70045e+08	1.93958e+07	5045.73	598.26	33.802	26.018	319188	17	56175	236677	33775645	7134565	85.2757	85.2757	-68022.2	-85.2757	-39.3096	-0.304527	2.45017e+07	6374.02	7.66	12.30	4.21977	3.51433	0.3441	0.6076	0.006901	0.3855	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	LU32PEEng.v	common	15356.79		172.49	770484	128	1432.68	-1	-1	298492	-1	-1	9172	114	167	32	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	2054164	114	102	102506	101104	1	54560	9587	113	113	12769	clb	auto	49.87	1125296	595.51	3.44	73.7538	-356623	-73.7538	73.7538	92.43	0.567144	0.424096	47.588	34.9825	104	1482043	41	7.84268e+08	5.98453e+08	8.40019e+07	6578.58	12454.20	151.121	117.377	1403946	17	192077	858205	263181417	67543863	84.0599	84.0599	-490488	-84.0599	-15.2404	-0.180527	1.06512e+08	8341.49	36.57	95.65	14.8559	12.251	1.403	0.6605	0.006032	0.3334	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	mcml.v	common	11462.80		70.82	954224	75	9095.38	-1	-1	447776	-1	-1	8823	36	159	27	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	1956568	36	33	134466	132924	1	42817	9078	111	111	12321	clb	auto	36.55	558325	301.46	1.94	59.2298	-306548	-59.2298	59.2298	78.00	0.185798	0.155767	30.5864	23.4743	68	763856	45	7.58755e+08	5.73284e+08	5.71375e+07	4637.40	1319.29	124.824	100.048	705876	19	148843	504532	75600543	16974510	65.3806	65.3806	-383798	-65.3806	-0.194093	-0.0485233	7.04391e+07	5717.00	22.66	28.95	11.6583	10.0265	0.9287	0.5608	0.007892	0.4313	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm.xml	mkDelayWorker32B.v	common	81.67		1.14	78756	5	9.78	-1	-1	52568	-1	-1	504	506	47	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	267552	506	553	3285	3838	1	3022	1610	50	50	2500	memory	auto	4.17	14409	5.16	0.04	6.47354	-1700.16	-6.47354	6.47354	16.12	0.0116911	0.0106314	2.56244	2.29056	38	22080	17	1.47946e+08	5.29193e+07	6.57953e+06	2631.81	25.06	7.2849	6.66912	21046	14	3647	4659	3366712	828652	7.40517	7.40517	-2143.07	-7.40517	-7.58418	-0.229289	8.28755e+06	3315.02	2.44	0.96	0.476925	0.449357	0.165	0.3903	0.02078	0.5889	
