arch	circuit	script_params	vtr_flow_elapsed_time	error	odin_synth_time	max_odin_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_time	placed_wirelength_est	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	total_power	routing_power_perc	clock_power_perc	tile_power_perc	
k6_frac_N10_mem32K_40nm.xml	blob_merge.v	common	149.42		0.67	59296	18	87.49	-1	-1	67848	-1	-1	567	36	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	162376	36	100	6600	6700	1	2796	703	30	30	900	clb	auto	4.86	45280	5.29	0.04	9.00388	-2553.91	-9.00388	9.00388	2.16	0.0111997	0.0095747	1.81163	1.36443	64	69768	27	4.8774e+07	3.05579e+07	3.87092e+06	4301.02	27.07	6.73295	5.4421	65164	13	12410	63616	2886592	377212	10.3791	10.3791	-2909.67	-10.3791	0	0	4.83441e+06	5371.56	1.17	1.23	0.694718	0.616406	0.025	0.3666	0.03807	0.5953	
k6_frac_N10_mem32K_40nm.xml	boundtop.v	common	7.22		0.81	46920	2	0.57	-1	-1	37012	-1	-1	82	114	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	69704	114	192	455	647	1	312	388	13	13	169	clb	auto	0.16	758	0.56	0.00	1.70835	-203.113	-1.70835	1.70835	0.34	0.000976047	0.000854198	0.161957	0.13986	36	2211	20	6.63067e+06	4.41931e+06	367804.	2176.36	1.64	0.460495	0.409135	1762	13	705	924	61330	17686	2.27648	2.27648	-247.759	-2.27648	0	0	456028.	2698.39	0.11	0.06	0.0383482	0.0355571	0.00733	0.3528	0.09256	0.5546	
k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	4.29		0.05	9292	3	0.30	-1	-1	36152	-1	-1	65	99	1	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	70896	99	130	363	493	1	251	295	12	12	144	clb	auto	0.12	615	0.39	0.00	1.97933	-202.994	-1.97933	1.97933	0.29	0.000637589	0.000549661	0.107568	0.0916289	46	1389	13	5.66058e+06	4.05111e+06	378970.	2631.74	1.33	0.336025	0.295263	1274	8	580	750	63298	22590	2.47625	2.47625	-241.499	-2.47625	0	0	486261.	3376.82	0.12	0.05	0.0233275	0.0215625	0.009076	0.2039	0.07227	0.7239	
k6_frac_N10_mem32K_40nm.xml	diffeq1.v	common	10.76		0.04	9160	15	0.46	-1	-1	34596	-1	-1	36	162	0	5	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	70556	162	96	999	932	1	693	299	16	16	256	mult_36	auto	0.38	5304	0.90	0.01	19.7038	-1798.95	-19.7038	19.7038	0.61	0.00289557	0.00265919	0.431869	0.386185	50	11378	23	1.21132e+07	3.92018e+06	780512.	3048.87	4.63	0.961355	0.870492	9589	21	3086	6045	1539878	392193	22.8395	22.8395	-2030.13	-22.8395	0	0	1.00276e+06	3917.05	0.21	0.37	0.11341	0.106043	0.007811	0.3508	0.0162	0.633	
k6_frac_N10_mem32K_40nm.xml	diffeq2.v	common	12.30		0.03	8308	14	0.34	-1	-1	33544	-1	-1	29	66	0	7	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	70008	66	96	719	590	1	525	198	18	18	324	mult_36	auto	0.30	4790	0.42	0.00	15.3213	-871.24	-15.3213	15.3213	0.84	0.00141308	0.00131027	0.217961	0.199231	38	11506	50	1.57076e+07	4.33493e+06	803540.	2480.06	6.24	0.860594	0.793647	10051	18	2900	6407	2371930	564906	18.2473	18.2473	-1032.11	-18.2473	0	0	1.01953e+06	3146.70	0.29	0.65	0.158463	0.148985	0.009421	0.3037	0.01834	0.678	
k6_frac_N10_mem32K_40nm.xml	mkPktMerge.v	common	17.82		0.16	16964	2	0.11	-1	-1	33736	-1	-1	27	311	15	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	90796	311	156	972	1128	1	953	509	28	28	784	memory	auto	0.53	7827	0.86	0.01	3.90797	-4026.08	-3.90797	3.90797	1.71	0.00249662	0.00213566	0.378096	0.317729	36	14479	14	4.25198e+07	9.67514e+06	1.94918e+06	2486.20	8.42	1.27326	1.11249	13472	13	2891	3230	2215365	647096	4.52093	4.52093	-4789.05	-4.52093	-25.8456	-0.339827	2.40571e+06	3068.51	0.83	0.47	0.107209	0.0976762	0.08502	0.1435	0.01666	0.8399	
k6_frac_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common	25.22		0.36	31976	7	2.69	-1	-1	37956	-1	-1	165	193	5	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	86772	193	205	2232	2437	1	1190	568	20	20	400	memory	auto	1.29	8936	1.62	0.01	4.44855	-2528.04	-4.44855	4.44855	0.75	0.00282609	0.00241744	0.586948	0.474437	48	17495	46	2.07112e+07	1.16325e+07	1.23055e+06	3076.38	11.51	1.93275	1.63513	14708	14	4521	11092	1106779	263595	5.53986	5.53986	-2984.41	-5.53986	-4.85712	-0.29436	1.57502e+06	3937.55	0.36	0.34	0.169369	0.155213	0.0293	0.2036	0.02481	0.7716	
k6_frac_N10_mem32K_40nm.xml	or1200.v	common	70.22		0.55	40832	27	5.31	-1	-1	43828	-1	-1	259	385	2	1	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	115772	385	394	3979	4310	1	2379	1041	27	27	729	io	auto	3.47	31242	3.72	0.03	13.271	-13061.1	-13.271	13.271	1.72	0.00762478	0.00673748	1.16799	0.97424	76	51110	29	3.93038e+07	1.54505e+07	3.58343e+06	4915.54	41.99	4.90125	4.28119	46131	14	10355	37426	3388428	639602	15.072	15.072	-14934.3	-15.072	0	0	4.48127e+06	6147.14	1.07	1.00	0.404446	0.371647	0.02317	0.4367	0.02471	0.5386	
k6_frac_N10_mem32K_40nm.xml	raygentop.v	common	30.58		0.40	32972	8	1.99	-1	-1	40616	-1	-1	107	214	0	9	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	88680	214	305	2625	2741	1	1449	635	22	22	484	mult_36	auto	2.38	11585	1.53	0.01	4.30664	-2400.31	-4.30664	4.30664	1.48	0.00351355	0.00308259	0.591307	0.506205	50	26386	46	2.50602e+07	9.33066e+06	1.56759e+06	3238.82	12.63	1.97252	1.73499	21391	21	7225	15930	4958964	1086872	5.40231	5.40231	-3027.78	-5.40231	0	0	2.01671e+06	4166.75	0.49	1.08	0.293596	0.265513	0.02275	0.432	0.03813	0.5299	
k6_frac_N10_mem32K_40nm.xml	sha.v	common	615.49		1.15	38192	20	587.49	-1	-1	95400	-1	-1	208	38	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	98348	38	36	3404	3440	1	1281	282	19	19	361	clb	auto	1.85	13341	1.68	0.01	11.5537	-3886.76	-11.5537	11.5537	0.65	0.00374746	0.00310762	0.71887	0.544538	56	21996	28	1.72706e+07	1.121e+07	1.27879e+06	3542.35	9.80	2.90409	2.37175	19799	15	5276	20061	681706	118206	14.2741	14.2741	-4632.48	-14.2741	0	0	1.63234e+06	4521.70	0.48	0.74	0.503724	0.445712	0.01026	0.3549	0.02594	0.6191	
