arch	circuit	script_params	vtr_flow_elapsed_time	error	odin_synth_time	max_odin_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_time	placed_wirelength_est	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	total_power	routing_power_perc	clock_power_perc	tile_power_perc	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	bgm.v	common	2573.82		22.75	392640	22	502.96	-1	-1	152568	-1	-1	2858	257	0	11	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	868484	257	32	32168	31683	1	24285	3158	65	65	4225	clb	auto	515.38	282444	92.44	0.61	19.7912	-26517.5	-19.7912	19.7912	37.71	0.0666864	0.0573557	9.87265	7.38586	172	1029056	36	2.50934e+08	1.58386e+08	4.54631e+07	10760.5	1194.64	48.3091	38.0615	908674	15	95565	455534	256022540	51023360	23.6901	23.6901	-32127.2	-23.6901	0	0	5.76082e+07	13635.1	21.89	50.99	4.49249	3.7812	0.2129	0.7823	0.02247	0.1952	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	blob_merge.v	common	444.41		0.46	59416	18	78.76	-1	-1	67520	-1	-1	611	36	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	218680	36	100	6600	6700	1	4471	747	31	31	961	clb	auto	74.28	53377	6.66	0.05	11.8407	-3349.19	-11.8407	11.8407	2.83	0.0109847	0.00933497	1.76476	1.34499	166	206947	21	5.14688e+07	3.29292e+07	9.55054e+06	9938.12	250.68	7.07731	5.69042	179520	11	13384	73496	40471721	8111907	15.7863	15.7863	-3999.38	-15.7863	0	0	1.21559e+07	12649.3	3.13	7.40	0.664959	0.584195	0.03277	0.7134	0.0398	0.2468	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	boundtop.v	common	10.91		0.80	47084	2	0.56	-1	-1	37044	-1	-1	84	114	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	66520	114	192	455	647	1	328	390	13	13	169	clb	auto	0.28	885	0.59	0.00	1.91071	-241.984	-1.91071	1.91071	0.38	0.000964558	0.000840586	0.160849	0.139969	46	4441	23	6.63067e+06	4.5271e+06	456028.	2698.39	5.19	0.460368	0.409478	3572	13	933	1554	479117	156131	2.74946	2.74946	-339.066	-2.74946	0	0	585697.	3465.66	0.13	0.09	0.0224553	0.020618	0.007847	0.5484	0.08096	0.3707	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	ch_intrinsics.v	common	5.76		0.06	9316	3	0.28	-1	-1	36092	-1	-1	68	99	1	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	68112	99	130	363	493	1	282	298	12	12	144	clb	auto	0.29	782	0.27	0.00	2.41061	-241.672	-2.41061	2.41061	0.20	0.000424858	0.000370585	0.0719423	0.061991	48	3573	14	5.66058e+06	4.21279e+06	394078.	2736.65	3.01	0.265983	0.23414	3133	10	670	1234	433172	125537	3.3945	3.3945	-355.616	-3.3945	0	0	503207.	3494.49	0.11	0.12	0.0260234	0.023868	0.007808	0.3583	0.06249	0.5792	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	diffeq1.v	common	42.12		0.04	9148	15	0.45	-1	-1	34592	-1	-1	42	162	0	5	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	78528	162	96	999	932	1	779	305	16	16	256	mult_36	auto	10.14	5788	0.60	0.01	22.1198	-2072.15	-22.1198	22.1198	0.45	0.00159474	0.00145504	0.230383	0.206923	96	26278	47	1.21132e+07	4.24355e+06	1.42133e+06	5552.06	26.21	0.872958	0.795792	20003	13	3299	9223	6435532	1397832	26.8121	26.8121	-2708.49	-26.8121	0	0	1.77927e+06	6950.29	0.30	0.91	0.0694607	0.06515	0.00867	0.5804	0.01921	0.4004	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	diffeq2.v	common	33.31		0.04	8276	14	0.23	-1	-1	33540	-1	-1	31	66	0	7	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	70596	66	96	719	590	1	593	200	18	18	324	mult_36	auto	5.53	5438	0.48	0.00	17.3356	-1095.76	-17.3356	17.3356	0.63	0.0014477	0.00133761	0.22848	0.2075	64	23677	48	1.57076e+07	4.44271e+06	1.31112e+06	4046.65	21.88	0.922042	0.848466	18340	19	3302	10092	8273527	2115474	22.7429	22.7429	-1400.32	-22.7429	0	0	1.63904e+06	5058.76	0.29	1.28	0.0781144	0.0734342	0.008913	0.4773	0.02057	0.5021	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	LU8PEEng.v	common	2788.05		21.31	227584	129	269.66	-1	-1	100640	-1	-1	2149	114	44	8	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	711076	114	102	29578	29304	1	21827	2417	56	56	3136	clb	auto	665.48	250932	74.56	0.97	89.3967	-59529.8	-89.3967	89.3967	27.62	0.156337	0.115218	10.5714	7.89437	202	812931	42	1.8697e+08	1.43101e+08	3.85388e+07	12289.2	1549.48	50.3584	39.435	711041	18	63129	261741	209011861	47512510	109.391	109.391	-78103.7	-109.391	-36.6632	-0.292146	4.91668e+07	15678.2	16.79	52.20	4.13038	3.40838	0.1208	0.7681	0.009672	0.2222	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	LU32PEEng.v	common	29988.63		168.54	770608	128	1466.21	-1	-1	298508	-1	-1	7692	114	167	32	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	2517544	114	102	102506	101104	1	76779	8107	104	104	10816	clb	auto	2830.49	1197759	630.29	3.27	89.0703	-344061	-89.0703	89.0703	105.84	0.280792	0.2425	47.961	36.4997	242	3051368	24	6.67561e+08	5.18699e+08	1.60656e+08	14853.5	23995.77	185.134	145.253	2822580	15	192185	822519	1042860073	261615155	111.116	111.116	-503280	-111.116	-42.0844	-0.174787	2.04407e+08	18898.6	74.28	288.08	12.4528	10.5446	0.4794	0.7885	0.008819	0.2026	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	mcml.v	common	21579.60		63.22	954264	75	8830.61	-1	-1	447672	-1	-1	7627	36	159	27	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	2336448	36	33	134466	132924	1	71078	7882	103	103	10609	clb	auto	722.10	812079	429.48	2.45	72.672	-335986	-72.672	72.672	115.46	0.199278	0.169044	39.9493	31.1837	176	2106287	46	6.46441e+08	5.08833e+08	1.18648e+08	11183.7	10710.26	152.984	123.408	1902786	15	191739	810936	481601433	106967346	93.4536	93.4536	-520072	-93.4536	-0.225514	-0.0281893	1.49134e+08	14057.3	47.19	119.89	10.9575	9.47263	0.3573	0.7112	0.01093	0.2779	
k6_N10_I40_Fi6_L4_frac1_ff2_C5_45nm.xml	mkDelayWorker32B.v	common	101.77		1.20	78880	5	13.18	-1	-1	52412	-1	-1	462	506	47	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	324944	506	553	3285	3838	1	3129	1568	50	50	2500	memory	auto	4.55	15224	6.40	0.04	7.36927	-1901.92	-7.36927	7.36927	24.49	0.0114414	0.0103734	3.24284	2.89552	38	27554	10	1.47946e+08	5.06557e+07	6.86584e+06	2746.33	31.21	7.80885	7.11625	26475	9	2914	3746	4387103	1075380	8.79228	8.79228	-2319.91	-8.79228	-3.50224	-0.295467	8.69095e+06	3476.38	3.91	1.16	0.409956	0.388722	0.1446	0.1613	0.03212	0.8066	
