arch	circuit	script_params	vtr_flow_elapsed_time	error	odin_synth_time	max_odin_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_time	placed_wirelength_est	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	total_power	routing_power_perc	clock_power_perc	tile_power_perc	
k6_frac_N10_mem32K_40nm.xml	bgm.v	common	993.16		23.30	392652	22	468.27	-1	-1	152632	-1	-1	2635	257	0	11	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	700260	257	32	32168	31683	1	18570	2935	62	62	3844	clb	auto	33.81	251381	68.53	0.50	15.8414	-22071.7	-15.8414	15.8414	30.38	0.0762625	0.0556687	9.46634	6.97832	80	385161	34	2.30929e+08	1.46369e+08	2.08145e+07	5414.81	217.48	43.0199	34.032	362853	19	90380	408929	23298092	3778029	18.4127	18.4127	-25123.9	-18.4127	0	0	2.62565e+07	6830.53	8.54	10.36	5.01216	4.30582	0.1735	0.4466	0.02668	0.5267	
k6_frac_N10_mem32K_40nm.xml	blob_merge.v	common	147.36		0.58	59328	18	81.92	-1	-1	67544	-1	-1	567	36	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	162172	36	100	6600	6700	1	2796	703	30	30	900	clb	auto	4.86	45280	5.70	0.04	9.00388	-2553.91	-9.00388	9.00388	2.23	0.0119654	0.0103369	2.00698	1.52489	64	69768	27	4.8774e+07	3.05579e+07	3.87092e+06	4301.02	28.28	7.19469	5.76621	65164	13	12410	63616	2886592	377212	10.3791	10.3791	-2909.67	-10.3791	0	0	4.83441e+06	5371.56	1.88	2.10	1.14247	0.975394	0.025	0.3666	0.03807	0.5953	
k6_frac_N10_mem32K_40nm.xml	boundtop.v	common	5.74		0.75	47016	2	0.40	-1	-1	36996	-1	-1	82	114	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	69520	114	192	455	647	1	312	388	13	13	169	clb	auto	0.14	758	0.38	0.00	1.70835	-203.113	-1.70835	1.70835	0.26	0.000589842	0.000523076	0.107992	0.0947967	36	2211	20	6.63067e+06	4.41931e+06	367804.	2176.36	1.09	0.29774	0.266955	1762	13	705	924	61330	17686	2.27648	2.27648	-247.759	-2.27648	0	0	456028.	2698.39	0.08	0.04	0.0238337	0.0221336	0.00733	0.3528	0.09256	0.5546	
k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v	common	3.97		0.04	9292	3	0.23	-1	-1	36192	-1	-1	65	99	1	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	71000	99	130	363	493	1	251	295	12	12	144	clb	auto	0.11	615	0.43	0.00	1.97933	-202.994	-1.97933	1.97933	0.19	0.000686016	0.000598315	0.11644	0.100167	46	1389	13	5.66058e+06	4.05111e+06	378970.	2631.74	1.13	0.303061	0.26742	1274	8	580	750	63298	22590	2.47625	2.47625	-241.499	-2.47625	0	0	486261.	3376.82	0.08	0.03	0.0135836	0.0125971	0.009076	0.2039	0.07227	0.7239	
k6_frac_N10_mem32K_40nm.xml	diffeq1.v	common	10.94		0.06	9048	15	0.36	-1	-1	34488	-1	-1	36	162	0	5	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	70356	162	96	999	932	1	693	299	16	16	256	mult_36	auto	0.25	5304	0.59	0.01	19.7038	-1798.95	-19.7038	19.7038	0.51	0.0029583	0.00269035	0.254881	0.228332	50	11378	23	1.21132e+07	3.92018e+06	780512.	3048.87	4.97	0.855992	0.780232	9589	21	3086	6045	1539878	392193	22.8395	22.8395	-2030.13	-22.8395	0	0	1.00276e+06	3917.05	0.29	0.55	0.185621	0.173456	0.007811	0.3508	0.0162	0.633	
k6_frac_N10_mem32K_40nm.xml	diffeq2.v	common	11.49		0.08	8312	14	0.27	-1	-1	33504	-1	-1	29	66	0	7	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	70252	66	96	719	590	1	525	198	18	18	324	mult_36	auto	0.26	4790	0.68	0.00	15.3213	-871.24	-15.3213	15.3213	0.59	0.00146855	0.00135568	0.370686	0.335826	38	11506	50	1.57076e+07	4.33493e+06	803540.	2480.06	6.03	0.98577	0.904424	10051	18	2900	6407	2371930	564906	18.2473	18.2473	-1032.11	-18.2473	0	0	1.01953e+06	3146.70	0.20	0.38	0.0775576	0.0729958	0.009421	0.3037	0.01834	0.678	
k6_frac_N10_mem32K_40nm.xml	LU8PEEng.v	common	1260.94		18.96	227648	129	265.44	-1	-1	100704	-1	-1	2014	114	44	8	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	610880	114	102	29578	29304	1	15300	2282	54	54	2916	clb	auto	29.45	221607	50.06	0.32	71.2325	-55284.1	-71.2325	71.2325	22.37	0.0566456	0.0486916	9.55069	6.87794	94	337754	46	1.70873e+08	1.35826e+08	1.81141e+07	6211.98	750.60	42.8504	33.1133	303103	19	58820	237189	45913981	9240264	81.9617	81.9617	-68418.6	-81.9617	-17.9647	-0.295467	2.28201e+07	7825.81	7.26	14.48	4.67341	4.00067	0.1024	0.4121	0.01053	0.5774	
k6_frac_N10_mem32K_40nm.xml	LU32PEEng.v	common	8292.37		165.31	770524	128	1478.06	-1	-1	298496	-1	-1	7158	114	167	32	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	2183728	114	102	102506	101104	1	53881	7573	101	101	10201	clb	auto	122.57	1091478	485.43	2.65	71.3486	-321265	-71.3486	71.3486	99.44	0.316499	0.22677	45.7049	33.1572	132	1443144	45	6.22828e+08	4.89923e+08	8.69606e+07	8524.71	5352.13	198.325	154.127	1362969	20	201471	870642	300733375	77624623	81.4008	81.4008	-459455	-81.4008	-25.9109	-0.17368	1.11338e+08	10914.4	45.81	117.21	17.3219	14.4488	0.4271	0.4811	0.009337	0.5095	
k6_frac_N10_mem32K_40nm.xml	mcml.v	common	11490.00		64.83	954212	75	8913.96	-1	-1	447636	-1	-1	5472	36	159	27	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	1916236	36	33	134466	132924	1	39653	5727	92	92	8464	memory	auto	61.97	461165	222.95	1.31	58.0342	-281589	-58.0342	58.0342	78.37	0.199968	0.169035	33.8438	25.6696	84	676396	47	5.19428e+08	3.92705e+08	4.83041e+07	5707.00	1580.00	148.649	119.357	624063	21	149746	460070	93047904	23777435	65.3427	65.3427	-353766	-65.3427	-0.0861913	-0.0215478	6.13894e+07	7253.00	18.13	38.33	13.696	11.7956	0.2664	0.3611	0.01299	0.6259	
k6_frac_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common	90.52		1.14	78816	5	8.08	-1	-1	52432	-1	-1	456	506	47	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	320252	506	553	3285	3838	1	3022	1562	50	50	2500	memory	auto	3.44	13844	6.15	0.03	5.95267	-1737.1	-5.95267	5.95267	20.64	0.012365	0.010885	3.07062	2.74121	38	21834	15	1.47946e+08	5.03323e+07	6.86584e+06	2746.33	31.44	7.52573	6.8807	20620	16	4027	5047	3622996	886535	6.85724	6.85724	-2206.18	-6.85724	-7.78106	-0.293253	8.69095e+06	3476.38	2.53	1.21	0.586494	0.552676	0.1861	0.1281	0.03834	0.8336	
k6_frac_N10_mem32K_40nm.xml	mkPktMerge.v	common	21.18		0.18	16980	2	0.13	-1	-1	33668	-1	-1	27	311	15	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	90764	311	156	972	1128	1	953	509	28	28	784	memory	auto	0.40	7827	1.40	0.01	3.90797	-4026.08	-3.90797	3.90797	2.49	0.00479418	0.0042137	0.633651	0.537307	36	14479	14	4.25198e+07	9.67514e+06	1.94918e+06	2486.20	11.03	1.87312	1.65376	13472	13	2891	3230	2215365	647096	4.52093	4.52093	-4789.05	-4.52093	-25.8456	-0.339827	2.40571e+06	3068.51	0.56	0.47	0.105075	0.0960577	0.08502	0.1435	0.01666	0.8399	
k6_frac_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common	25.32		0.35	31892	7	3.04	-1	-1	37864	-1	-1	165	193	5	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	86940	193	205	2232	2437	1	1190	568	20	20	400	memory	auto	1.30	8936	2.03	0.01	4.44855	-2528.04	-4.44855	4.44855	0.86	0.00314212	0.00272543	0.780105	0.626009	48	17495	46	2.07112e+07	1.16325e+07	1.23055e+06	3076.38	11.56	2.18786	1.84391	14708	14	4521	11092	1106779	263595	5.53986	5.53986	-2984.41	-5.53986	-4.85712	-0.29436	1.57502e+06	3937.55	0.30	0.38	0.183247	0.168496	0.0293	0.2036	0.02481	0.7716	
k6_frac_N10_mem32K_40nm.xml	or1200.v	common	72.49		0.59	40832	27	5.55	-1	-1	43848	-1	-1	259	385	2	1	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	116052	385	394	3979	4310	1	2379	1041	27	27	729	io	auto	3.51	31242	3.76	0.03	13.271	-13061.1	-13.271	13.271	1.75	0.00736652	0.00662886	1.18375	0.987094	76	51110	29	3.93038e+07	1.54505e+07	3.58343e+06	4915.54	42.42	4.82241	4.19008	46131	14	10355	37426	3388428	639602	15.072	15.072	-14934.3	-15.072	0	0	4.48127e+06	6147.14	1.87	1.14	0.46423	0.424524	0.02317	0.4367	0.02471	0.5386	
k6_frac_N10_mem32K_40nm.xml	raygentop.v	common	27.80		0.39	32896	8	1.89	-1	-1	40484	-1	-1	107	214	0	9	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	88700	214	305	2625	2741	1	1449	635	22	22	484	mult_36	auto	1.82	11585	1.31	0.01	4.30664	-2400.31	-4.30664	4.30664	0.98	0.00341223	0.00302836	0.47218	0.408523	50	26386	46	2.50602e+07	9.33066e+06	1.56759e+06	3238.82	12.71	1.84859	1.63625	21391	21	7225	15930	4958964	1086872	5.40231	5.40231	-3027.78	-5.40231	0	0	2.01671e+06	4166.75	0.42	0.98	0.237377	0.217771	0.02275	0.432	0.03813	0.5299	
k6_frac_N10_mem32K_40nm.xml	sha.v	common	784.92		1.17	38104	20	756.44	-1	-1	95404	-1	-1	208	38	0	0	success	v8.0.0-3684-g44d092b7d-dirty	Release VTR_ASSERT_LEVEL=2	GNU 7.5.0 on Linux-4.15.0-60-generic x86_64	2021-05-28T15:22:43	betzgrp-wintermute.eecg.utoronto.ca	/home/ahmadi55/vtr-verilog-to-routing	98508	38	36	3404	3440	1	1281	282	19	19	361	clb	auto	1.69	13341	1.43	0.01	11.5537	-3886.76	-11.5537	11.5537	0.65	0.00395868	0.00333349	0.590888	0.437396	56	21996	28	1.72706e+07	1.121e+07	1.27879e+06	3542.35	10.04	3.00182	2.48345	19799	15	5276	20061	681706	118206	14.2741	14.2741	-4632.48	-14.2741	0	0	1.63234e+06	4521.70	0.36	0.40	0.272269	0.243728	0.01026	0.3549	0.02594	0.6191	
