arch	circuit	vpr_status	min_chan_width	pack_time	place_time	min_chan_width_route_time	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	unabsorb_ff	num_memories	num_mult	error	
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	blob_merge.v	success	88	13.3	79.92	533.03	6787	6887	2562	753	36	100	0	0	0		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	boundtop.v	success	66	17	30.45	66.14	4899	5091	2040	368	275	192	16	1	0		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	ch_intrinsics.v	success	50	0.79	2.39	4.77	753	883	410	52	99	130	1	1	0		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	diffeq1.v	success	74	0.8	2.87	5.19	953	890	608	55	162	96	0	0	5		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	LU8PEEng.v	success	98	168.71	656.91	4119	30491	30217	16240	3228	114	102	3780	45	8		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	mkDelayWorker32B.v	success	92	30	105.88	809.76	9918	10471	5095	702	511	553	7	43	0		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	mkPktMerge.v	success	40	2.37	4.05	18.67	1032	1188	970	29	311	156	0	15	0		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	mkSMAdapter4B.v	success	70	5.98	17.15	43.42	3308	3513	1456	249	195	205	5	5	0		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	or1200.v	success	80	7.35	42.34	305.7	4167	4498	2233	371	385	394	0	2	1		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	raygentop.v	success	66	12.06	23.54	60.32	4024	4140	1855	303	239	305	282	1	7		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	sha.v	success	56	4.91	13.49	56.31	3161	3197	1008	277	38	36	3	0	0		
k6_N8_I27_fleI6_fleO1_ff1_nmodes_1.xml	stereovision0.v	success	50	148.46	152.79	556.75	25024	25221	7551	1848	157	197	3319	0	0		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	blob_merge.v	success	100	537.38	78.77	1033.4	6787	6887	2908	667	36	100	0	0	0		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	boundtop.v	success	88	510.32	26.71	140.16	4899	5091	2176	280	275	192	16	1	0		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	ch_intrinsics.v	success	60	51.53	2.24	2.16	753	883	420	42	99	130	1	1	0		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	diffeq1.v	success	76	24.06	2.64	5.51	953	890	616	39	162	96	0	0	5		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	LU8PEEng.v	success	138	2411.89	576.65	9909.8	30491	30217	15364	2506	114	102	3780	45	8		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	mkDelayWorker32B.v	success	110	1160.07	93.73	2154.47	9918	10471	5254	556	511	553	7	43	0		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	mkPktMerge.v	success	40	11.85	3.94	28.34	1032	1188	970	17	311	156	0	15	0		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	mkSMAdapter4B.v	success	88	400.37	15.79	66.31	3308	3513	1530	198	195	205	5	5	0		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	or1200.v	success	86	452.56	36.5	319.65	4167	4498	2292	301	385	394	0	2	1		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	raygentop.v	success	86	403.38	18.85	62.29	4024	4140	1905	205	239	305	282	1	7		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	sha.v	success	78	491.65	14.16	133.25	3161	3197	1617	248	38	36	3	0	0		
k6_N8_I48_fleI5_fleO2_ff2_nmodes_2.xml	stereovision0.v	success	84	1439.01	83.54	668.69	25024	25221	7585	1018	157	197	3319	0	0		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	blob_merge.v	success	60	151.61	64.32	125.52	6787	6887	3137	598	36	100	0	0	0		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	boundtop.v	success	52	185.96	24.76	24.2	4899	5091	2214	259	275	192	16	1	0		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	ch_intrinsics.v	success	38	23.84	2.18	0.92	753	883	415	39	99	130	1	1	0		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	diffeq1.v	success	56	16.46	2.61	3.01	953	890	601	37	162	96	0	0	5		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	LU8PEEng.v	success	130	1040.19	587.34	10209.6	30491	30217	15927	2269	114	102	3780	45	8		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	mkDelayWorker32B.v	success	86	247.27	87.72	228.19	9918	10471	5311	491	511	553	7	43	0		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	mkPktMerge.v	success	40	8.18	3.96	12.31	1032	1188	969	16	311	156	0	15	0		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	mkSMAdapter4B.v	success	56	96.8	14.65	10.62	3308	3513	1595	178	195	205	5	5	0		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	or1200.v	success	56	131.5	35.54	145.32	4167	4498	2397	275	385	394	0	2	1		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	raygentop.v	success	62	120.38	18.69	31.56	4024	4140	2023	187	239	305	282	1	7		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	sha.v	success	46	101.53	11.59	16.63	3161	3197	1476	213	38	36	3	0	0		
k6_N8_I48_fleI6_fleO2_ff2_nmodes_2.xml	stereovision0.v	success	56	1019.62	86.33	67.19	25024	25221	7797	974	157	197	3319	0	0		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	blob_merge.v	success	62	716.77	67.51	183.37	6787	6887	3116	556	36	100	0	0	0		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	boundtop.v	success	52	399.88	24.31	35.96	4899	5091	2185	248	275	192	16	1	0		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	ch_intrinsics.v	success	38	38	2.21	0.97	753	883	407	38	99	130	1	1	0		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	diffeq1.v	success	52	51.78	2.55	5.09	953	890	596	36	162	96	0	0	5		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	LU8PEEng.v	success	106	4063.17	538.8	5147.14	30491	30217	15797	2303	114	102	3780	45	8		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	mkDelayWorker32B.v	success	94	663.38	90.1	606.2	9918	10471	5320	451	511	553	7	43	0		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	mkPktMerge.v	success	40	13.91	3.95	15.77	1032	1188	971	16	311	156	0	15	0		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	mkSMAdapter4B.v	success	56	216.37	13.64	11.08	3308	3513	1588	166	195	205	5	5	0		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	or1200.v	success	52	419.3	33.39	179.09	4167	4498	2297	258	385	394	0	2	1		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	raygentop.v	success	58	250.46	18.51	22.24	4024	4140	1967	189	239	305	282	1	7		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	sha.v	success	46	227.81	10.37	10.39	3161	3197	1342	180	38	36	3	0	0		
k6_N8_I56_fleI7_fleO2_ff2_nmodes_2.xml	stereovision0.v	success	60	1367.26	81.38	133.46	25024	25221	7892	965	157	197	3319	0	0		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	blob_merge.v	success	58	1226.53	61.95	206.04	6787	6887	3059	541	36	100	0	0	0		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	boundtop.v	success	50	500.54	24.99	13.08	4899	5091	2188	248	275	192	16	1	0		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	ch_intrinsics.v	success	38	58.41	2.31	0.9	753	883	411	39	99	130	1	1	0		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	diffeq1.v	success	54	47.09	2.69	2.87	953	890	604	36	162	96	0	0	5		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	LU8PEEng.v	success	92	5336.4	542.45	1770.3	30491	30217	15749	2304	114	102	3780	45	8		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	mkDelayWorker32B.v	success	90	860.89	70.89	546.66	9918	10471	5320	449	511	553	7	43	0		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	mkPktMerge.v	success	40	17.02	3.91	15.58	1032	1188	971	16	311	156	0	15	0		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	mkSMAdapter4B.v	success	56	260.85	14	10.72	3308	3513	1578	166	195	205	5	5	0		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	or1200.v	success	56	532.03	35.13	157.27	4167	4498	2317	258	385	394	0	2	1		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	raygentop.v	success	58	301.05	18.65	32.21	4024	4140	1955	189	239	305	282	1	7		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	sha.v	success	44	228.27	10.22	9.89	3161	3197	1321	178	38	36	3	0	0		
k6_N8_I64_fleI8_fleO2_ff2_nmodes_2.xml	stereovision0.v	success	54	1662.81	78.79	212.69	25024	25221	7808	966	157	197	3319	0	0		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	blob_merge.v	success	58	1524.68	63.56	118.4	6787	6887	2930	541	36	100	0	0	0		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	boundtop.v	success	46	651.91	24.78	11.59	4899	5091	2154	248	275	192	16	1	0		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	ch_intrinsics.v	success	46	63.5	2.18	1.07	753	883	412	38	99	130	1	1	0		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	diffeq1.v	success	52	63.81	2.68	4.12	953	890	609	36	162	96	0	0	5		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	LU8PEEng.v	success	94	6890.42	551.73	2593.1	30491	30217	15632	2305	114	102	3780	45	8		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	mkDelayWorker32B.v	success	90	916.71	70.18	336.71	9918	10471	5216	445	511	553	7	43	0		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	mkPktMerge.v	success	40	19.56	3.88	11.52	1032	1188	970	16	311	156	0	15	0		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	mkSMAdapter4B.v	success	54	312.2	14.1	8.55	3308	3513	1563	166	195	205	5	5	0		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	or1200.v	success	54	688.72	34.55	177.18	4167	4498	2270	258	385	394	0	2	1		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	raygentop.v	success	58	374.05	17.79	24.32	4024	4140	1920	190	239	305	282	1	7		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	sha.v	success	36	337.26	9.39	14.98	3161	3197	998	178	38	36	3	0	0		
k6_N8_I72_fleI9_fleO2_ff2_nmodes_2.xml	stereovision0.v	success	52	2041.25	82.63	168.12	25024	25221	7775	965	157	197	3319	0	0		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	blob_merge.v	success	56	1753.61	62.62	128.8	6787	6887	2793	541	36	100	0	0	0		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	boundtop.v	success	48	795.58	25.38	11.86	4899	5091	2149	248	275	192	16	1	0		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	ch_intrinsics.v	success	46	67.81	2.11	1.13	753	883	414	38	99	130	1	1	0		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	diffeq1.v	success	56	78.24	2.67	3.22	953	890	598	36	162	96	0	0	5		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	LU8PEEng.v	success	96	8286.86	599.87	1985.96	30491	30217	15322	2304	114	102	3780	45	8		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	mkDelayWorker32B.v	success	88	903.43	73.47	384.63	9918	10471	5097	445	511	553	7	43	0		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	mkPktMerge.v	success	40	22.17	3.89	14.92	1032	1188	969	16	311	156	0	15	0		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	mkSMAdapter4B.v	success	54	351.97	14.07	8.31	3308	3513	1558	166	195	205	5	5	0		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	or1200.v	success	52	821.64	33.75	160.83	4167	4498	2264	258	385	394	0	2	1		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	raygentop.v	success	60	506.24	18.24	29.2	4024	4140	1961	190	239	305	282	1	7		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	sha.v	success	36	407.07	9.24	9.36	3161	3197	971	178	38	36	3	0	0		
k6_N8_I80_fleI10_fleO2_ff2_nmodes_2.xml	stereovision0.v	success	50	2377.9	78.23	166.66	25024	25221	7729	965	157	197	3319	0	0		
