arch	circuit	vpr_status	min_chan_width	critical_path_delay	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error
k6_N10_40nm.xml	alu4.pre-vpr.blif	success	46	4.5446	1.23	3.31	3.92	0.42	926	934	438	92	14	8	-1	-1	
k6_N10_40nm.xml	apex2.pre-vpr.blif	success	72	5.19418	1.03	5.23	13.61	1.02	1113	1116	607	108	38	3	-1	-1	
k6_N10_40nm.xml	apex4.pre-vpr.blif	success	70	4.74284	0.81	3.73	10.24	0.69	897	916	519	89	9	19	-1	-1	
k6_N10_40nm.xml	bigkey.pre-vpr.blif	success	36	2.89935	0.85	7.9	8.88	0.5	1364	1561	509	92	229	197	-1	-1	
k6_N10_40nm.xml	clma.pre-vpr.blif	success	102	7.71998	3.53	36.33	61.61	5.33	3672	3754	2290	359	62	82	-1	-1	
k6_N10_40nm.xml	des.pre-vpr.blif	success	34	3.77196	0.39	7.22	10.82	0.41	954	1199	632	70	256	245	-1	-1	
k6_N10_40nm.xml	diffeq.pre-vpr.blif	success	34	5.37204	0.55	4.28	2.54	0.25	1371	1410	577	94	64	39	-1	-1	
k6_N10_40nm.xml	dsip.pre-vpr.blif	success	36	2.91693	0.91	8.32	9.09	0.49	1362	1559	527	91	229	197	-1	-1	
k6_N10_40nm.xml	elliptic.pre-vpr.blif	success	50	7.97814	1.49	14.43	16.85	1.39	3421	3535	1202	217	131	114	-1	-1	
k6_N10_40nm.xml	ex1010.pre-vpr.blif	success	112	6.44117	2.72	17.01	120.56	6.33	2659	2669	1349	267	10	10	-1	-1	
k6_N10_40nm.xml	ex5p.pre-vpr.blif	success	58	3.91254	0.72	3.54	5.17	0.4	761	824	415	76	8	63	-1	-1	
k6_N10_40nm.xml	frisc.pre-vpr.blif	success	72	8.90181	1.51	18.05	42.61	2.35	3175	3291	1245	228	20	116	-1	-1	
k6_N10_40nm.xml	misex3.pre-vpr.blif	success	50	4.4768	0.85	3.31	4.36	0.45	828	842	444	83	14	14	-1	-1	
k6_N10_40nm.xml	pdc.pre-vpr.blif	success	98	6.53364	3.3	18.96	96.82	5.4	2839	2879	1416	283	16	40	-1	-1	
k6_N10_40nm.xml	s298.pre-vpr.blif	success	46	6.05141	0.89	2.38	4.55	0.42	726	732	373	72	4	6	-1	-1	
k6_N10_40nm.xml	s38417.pre-vpr.blif	success	40	4.93865	2.72	26.14	14.56	1.77	4782	4888	2065	357	29	106	-1	-1	
k6_N10_40nm.xml	s38584.1.pre-vpr.blif	success	44	5.0763	2.01	30.43	15.55	1.87	4422	4726	2059	329	38	304	-1	-1	
k6_N10_40nm.xml	seq.pre-vpr.blif	success	68	4.55209	0.92	5.17	5.38	0.77	1006	1041	548	97	41	35	-1	-1	
k6_N10_40nm.xml	spla.pre-vpr.blif	success	78	5.83882	2.78	13.52	33.58	2.43	2232	2278	1063	222	16	46	-1	-1	
k6_N10_40nm.xml	tseng.pre-vpr.blif	success	28	4.67141	0.5	4.48	2.27	0.24	1461	1583	517	103	52	122	-1	-1	
