arch	circuit	vpr_status	min_chan_width	pack_time	place_time	min_chan_width_route_time	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	unabsorb_ff	num_memories	num_mult	error	
k4_N10_memSize65536_memData64.xml	boundtop.v	success	38	12.58	34.29	11.23	5940	6132	2138	399	275	192	17	1	0		
k4_N10_memSize65536_memData64.xml	ch_intrinsics.v	success	38	0.7	2.71	1.91	953	1083	396	62	99	130	1	1	0		
k4_N10_memSize65536_memData64.xml	LU8PEEng.v	success	76	191.3	724.92	2851.97	39205	38931	18641	3486	114	102	3782	45	8		
k4_N10_memSize65536_memData64.xml	LU32PEEng.v	success	110	1993.02	9027.77	51513.3	134226	132824	64041	12090	114	102	12511	166	32		
k4_N10_memSize65536_memData64.xml	mcml.v	success	64	4374.1	10516.8	5766.44	172738	171103	53480	12169	36	33	4599	80	30		
k4_N10_memSize65536_memData64.xml	mkDelayWorker32B.v	success	86	30.59	123.68	301	11983	12536	5499	769	511	553	7	43	0		
k4_N10_memSize65536_memData64.xml	mkPktMerge.v	success	48	2.06	4.4	9	1079	1235	985	28	311	156	0	15	0		
k4_N10_memSize65536_memData64.xml	mkSMAdapter4B.v	success	48	5.46	19.19	27.89	4097	4302	1610	279	195	205	5	5	0		
k4_N10_memSize65536_memData64.xml	or1200.v	success	56	7.19	49.58	70.79	5412	5743	2489	427	385	394	1	2	1		
k4_N10_memSize65536_memData64.xml	raygentop.v	success	54	8.11	24.64	42.16	4614	4730	1921	303	239	305	282	1	7		
k4_N10_memSize131072_memData64.xml	boundtop.v	success	38	13.18	35.04	10.51	5940	6132	2138	399	275	192	17	1	0		
k4_N10_memSize131072_memData64.xml	ch_intrinsics.v	success	34	0.7	2.87	2.03	953	1083	396	62	99	130	1	1	0		
k4_N10_memSize131072_memData64.xml	LU8PEEng.v	success	78	199.58	746.23	2137.58	39205	38931	18641	3486	114	102	3782	45	8		
k4_N10_memSize131072_memData64.xml	LU32PEEng.v	success	104	2038.41	9370.1	57956.9	134226	132824	64041	12090	114	102	12511	165	32		
k4_N10_memSize131072_memData64.xml	mcml.v	success	64	4378.77	10643.3	6679.88	172738	171103	53480	12169	36	33	4599	41	30		
k4_N10_memSize131072_memData64.xml	mkDelayWorker32B.v	success	82	31.39	126.58	656.39	11983	12536	5499	769	511	553	7	43	0		
k4_N10_memSize131072_memData64.xml	mkPktMerge.v	success	40	2.19	4.13	11.23	1079	1235	985	28	311	156	0	15	0		
k4_N10_memSize131072_memData64.xml	mkSMAdapter4B.v	success	48	5.49	19.25	27.16	4097	4302	1610	279	195	205	5	5	0		
k4_N10_memSize131072_memData64.xml	or1200.v	success	56	7.23	49.51	65.13	5412	5743	2489	427	385	394	1	2	1		
k4_N10_memSize131072_memData64.xml	raygentop.v	success	56	8.14	24.51	37.53	4614	4730	1921	303	239	305	282	1	7		
k4_N10_memSize262144_memData64.xml	boundtop.v	success	36	12.52	34.22	15.52	5940	6132	2138	399	275	192	17	1	0		
k4_N10_memSize262144_memData64.xml	ch_intrinsics.v	success	34	0.71	2.85	2.18	953	1083	396	62	99	130	1	1	0		
k4_N10_memSize262144_memData64.xml	LU8PEEng.v	success	76	198.96	729.37	1480.69	39205	38931	18641	3486	114	102	3782	45	8		
k4_N10_memSize262144_memData64.xml	LU32PEEng.v	success	110	2046.77	8852.64	44962.9	134226	132824	64041	12090	114	102	12511	165	32		
k4_N10_memSize262144_memData64.xml	mcml.v	success	64	4376.52	10729.7	5174.07	172738	171103	53480	12169	36	33	4599	22	30		
k4_N10_memSize262144_memData64.xml	mkDelayWorker32B.v	success	86	31.09	126.26	161.89	11983	12536	5499	769	511	553	7	43	0		
k4_N10_memSize262144_memData64.xml	mkPktMerge.v	success	38	2.3	4.1	15.03	1079	1235	985	28	311	156	0	15	0		
k4_N10_memSize262144_memData64.xml	mkSMAdapter4B.v	success	48	5.8	19.23	27.61	4097	4302	1610	279	195	205	5	5	0		
k4_N10_memSize262144_memData64.xml	or1200.v	success	60	7.26	50.22	72.38	5412	5743	2489	427	385	394	1	2	1		
k4_N10_memSize262144_memData64.xml	raygentop.v	success	50	8.15	24.71	42.1	4614	4730	1921	303	239	305	282	1	7		
k4_N10_memSize65536_memData32.xml	boundtop.v	success	38	12.53	33.56	16.4	5940	6132	2138	399	275	192	17	1	0		
k4_N10_memSize65536_memData32.xml	ch_intrinsics.v	success	34	0.68	2.87	2.51	953	1083	396	62	99	130	1	1	0		
k4_N10_memSize65536_memData32.xml	LU8PEEng.v	success	76	197.98	756.25	1424.67	39205	38931	18641	3486	114	102	3782	89	8		
k4_N10_memSize65536_memData32.xml	LU32PEEng.v	success	108	2035.31	9192.75	93278.2	134226	132824	64041	12090	114	102	12511	329	32		
