arch	circuit	vpr_status	min_chan_width	critical_path_delay	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error
k6_N10_memDepth16384_memData64_40nm_timing.xml	bgm.v	success	1.54E+02	2.90E-08	2306.85	2210.47	13940.4	83.36	36236	35751	21618	2797	257	32	0	11	
k6_N10_memDepth16384_memData64_40nm_timing.xml	blob_merge.v	success	9.60E+01	1.43E-08	627.93	112.76	327.19	6.07	6787	6887	3539	542	36	100	0	0	
k6_N10_memDepth16384_memData64_40nm_timing.xml	boundtop.v	success	6.80E+01	7.64E-09	519.34	39.89	34.08	1.46	4899	5091	2483	225	275	192	1	0	
k6_N10_memDepth16384_memData64_40nm_timing.xml	ch_intrinsics.v	success	4.80E+01	3.79E-09	51.5	3.57	1.88	0.17	753	883	428	34	99	130	1	0	
k6_N10_memDepth16384_memData64_40nm_timing.xml	diffeq1.v	success	6.40E+01	1.91E-08	24.49	4.65	16.22	1.24	953	890	713	32	162	96	0	5	
k6_N10_memDepth16384_memData64_40nm_timing.xml	diffeq2.v	success	5.60E+01	1.76E-08	16.54	2.77	13.48	0.9	604	540	454	21	66	96	0	5	
k6_N10_memDepth16384_memData64_40nm_timing.xml	LU8PEEng.v	success	1.28E+02	1.48E-07	2529.44	1281.7	14616.6	104.41	30491	30217	16254	2088	114	102	45	8	
k6_N10_memDepth16384_memData64_40nm_timing.xml	LU32PEEng.v	success	1.96E+02	1.49E-07	9360.5	13016.3	137091	863.38	103329	101927	55683	7374	114	102	150	32	
k6_N10_memDepth16384_memData64_40nm_timing.xml	mcml.v	success	136	1.10E-07	12671.8	7969.12	79221.6	179.12	155642	154007	51543	6251	36	33	38	30	
k6_N10_memDepth16384_memData64_40nm_timing.xml	mkDelayWorker32B.v	success	94	7.30E-09	1088.07	138.3	573	28.52	9918	10471	5644	446	511	553	41	0	
k6_N10_memDepth16384_memData64_40nm_timing.xml	mkPktMerge.v	success	50	3.41E-09	10.93	8.53	93.15	6.04	1032	1188	984	16	311	156	15	0	
k6_N10_memDepth16384_memData64_40nm_timing.xml	mkSMAdapter4B.v	success	70	7.59E-09	479.28	25.63	75.95	1.86	3308	3513	1789	158	195	205	5	0	
k6_N10_memDepth16384_memData64_40nm_timing.xml	or1200.v	success	88	2.39E-08	374.48	56.86	545.37	4.92	4167	4498	2610	246	385	394	2	1	
k6_N10_memDepth16384_memData64_40nm_timing.xml	raygentop.v	success	74	6.40E-09	430.91	29.91	31.36	1.88	4024	4140	2086	168	239	305	1	7	
k6_N10_memDepth16384_memData64_40nm_timing.xml	sha.v	success	62	1.57E-08	513.82	22.26	52.15	1.29	3161	3197	1956	201	38	36	0	0	
k6_N10_memDepth16384_memData64_40nm_timing.xml	stereovision0.v	success	70	4.61E-09	1524.71	217.61	184.48	5.02	25024	25221	8490	822	157	197	0	0	
k6_N10_memDepth16384_memData64_40nm_timing.xml	stereovision1.v	success	110	5.82E-09	2489.91	264.22	1077.54	15.28	24720	22585	11192	826	133	145	0	38	
k6_N10_memDepth16384_memData64_40nm_timing.xml	stereovision2.v	success	166	1.68E-08	3170.29	1209.52	125984	232.38	58572	49160	33600	1999	149	182	0	213	
k6_N10_memDepth16384_memData64_40nm_timing.xml	stereovision3.v	success	30	3.51E-09	20.32	0.51	0.46	0.04	286	316	139	12	10	30	0	0	
