arch                       	circuit           	vpr_revision	vpr_status	error	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	num_clb	num_io	num_outputs	num_memories	num_mult	placed_wirelength_est	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	crit_path_routed_wirelength	crit_path_route_success_iteration	critical_path_delay	setup_TNS	setup_WNS	hold_TNS  	hold_WNS  	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	crit_path_routing_area_total	crit_path_routing_area_per_tile	odin_synth_time	abc_synth_time	abc_cec_time	abc_sec_time	ace_time	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	vtr_flow_elapsed_time	max_vpr_mem	max_odin_mem	max_abc_mem
k6_frac_N10_mem32K_40nm.xml	blob_merge.v      	30d086154   	success   	     	6406               	6506                 	2880                	656                   	29          	29           	520    	36    	100        	0           	0       	100779               	8.85445       	-2577.18            	-8.85445            	74            	80984            	11                                    	77336                      	13                               	10.6432            	-2881.52 	-10.6432 	0         	0         	4.4999e+07            	2.80249e+07          	4.04182e+06                      	4805.97                             	5.07312e+06                 	6032.25                        	0.33           	0.12          	-1          	-1          	-1      	14.01    	13.77     	53.72                    	3.88                	98.97                	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	boundtop.v        	30d086154   	success   	     	4028               	4220                 	1851                	660                   	18          	18           	192    	275   	192        	1           	0       	32588                	5.01577       	-4623.72            	-5.01577            	60            	24578            	14                                    	21279                      	17                               	5.84455            	-5219.63 	-5.84455 	-0.0211448	-0.0144466	1.57076e+07           	1.08956e+07          	1.22123e+06                      	3769.23                             	1.53793e+06                 	4746.71                        	0.50           	0.09          	-1          	-1          	-1      	5.39     	5.65      	10.56                    	0.99                	26.85                	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	ch_intrinsics.v   	30d086154   	success   	     	419                	549                  	298                 	249                   	10          	10           	19     	99    	130        	1           	0       	2262                 	2.74023       	-250.655            	-2.74023            	42            	2555             	21                                    	2250                       	12                               	3.5255             	-318.677 	-3.5255  	0         	0         	3.92691e+06           	1.57199e+06          	236681.                          	2366.81                             	297605.                     	2976.05                        	0.05           	0.01          	-1          	-1          	-1      	0.19     	0.46      	0.87                     	0.13                	2.60                 	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	diffeq1.v         	30d086154   	success   	     	1001               	938                  	708                 	299                   	16          	16           	36     	162   	96         	0           	5       	10296                	19.5971       	-1477.51            	-19.5971            	50            	13929            	27                                    	10621                      	23                               	22.4462            	-1741.17 	-22.4462 	0         	0         	1.21132e+07           	3.92018e+06          	780512.                          	3048.87                             	1.03597e+06                 	4046.75                        	0.04           	0.00          	-1          	-1          	-1      	0.52     	1.21      	5.98                     	1.14                	10.14                	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	diffeq2.v         	30d086154   	success   	     	651                	587                  	469                 	192                   	16          	16           	25     	66    	96         	0           	5       	7349                 	15.6403       	-875.132            	-15.6403            	46            	10911            	45                                    	8624                       	22                               	18.0707            	-1038.63 	-18.0707 	0         	0         	1.21132e+07           	3.32735e+06          	727248.                          	2840.81                             	934704.                     	3651.19                        	0.02           	0.00          	-1          	-1          	-1      	0.43     	0.93      	12.78                    	1.24                	16.52                	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	mkDelayWorker32B.v	30d086154   	success   	     	3923               	4476                 	3430                	1214                  	50          	50           	111    	506   	553        	44          	0       	82124                	7.71157       	-2076.11            	-7.71157            	38            	38427            	15                                    	36529                      	19                               	8.1742             	-2382.87 	-8.1742  	-12.1939  	-0.29436  	1.47946e+08           	3.00942e+07          	6.86584e+06                      	2746.33                             	8.69095e+06                 	3476.38                        	1.08           	0.14          	-1          	-1          	-1      	3.50     	15.30     	31.44                    	3.88                	62.00                	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	mkPktMerge.v      	30d086154   	success   	     	978                	1134                 	953                 	493                   	28          	28           	11     	311   	156        	15          	0       	21490                	4.57794       	-4412.53            	-4.57794            	40            	15109            	13                                    	13720                      	14                               	4.96958            	-5017.29 	-4.96958 	-18.7112  	-0.341744 	4.25198e+07           	8.81283e+06          	2.13295e+06                      	2720.61                             	2.67004e+06                 	3405.67                        	0.25           	0.02          	-1          	-1          	-1      	0.88     	2.35      	20.11                    	1.51                	26.44                	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	mkSMAdapter4B.v   	30d086154   	success   	     	2635               	2840                 	1323                	527                   	20          	20           	124    	193   	205        	5           	0       	24074                	4.79897       	-3057.27            	-4.79897            	52            	19845            	44                                    	17520                      	15                               	5.2635             	-3476.07 	-5.2635  	-11.0596  	-0.339827 	2.07112e+07           	9.42286e+06          	1.31074e+06                      	3276.84                             	1.72518e+06                 	4312.96                        	0.25           	0.05          	-1          	-1          	-1      	2.82     	3.34      	10.23                    	0.99                	20.64                	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	or1200.v          	30d086154   	success   	     	4181               	4512                 	2440                	1029                  	27          	27           	247    	385   	394        	2           	1       	70507                	12.5957       	-12523.3            	-12.5957            	76            	61556            	12                                    	50055                      	15                               	14.1005            	-13933.5 	-14.1005 	0         	0         	3.93038e+07           	1.48038e+07          	3.58343e+06                      	4915.54                             	4.48127e+06                 	6147.14                        	0.54           	0.08          	-1          	-1          	-1      	6.27     	9.85      	84.54                    	2.53                	108.36               	-1         	-1          	-1         
k6_frac_N10_mem32K_40nm.xml	raygentop.v       	30d086154   	success   	     	3827               	3943                 	1911                	722                   	19          	19           	170    	239   	305        	1           	7       	33954                	4.68017       	-3551.22            	-4.68017            	72            	33443            	12                                    	28555                      	17                               	5.25213            	-4009.91 	-5.25213 	-0.452504 	-0.0215478	1.72706e+07           	1.2482e+07           	1.63234e+06                      	4521.70                             	2.04538e+06                 	5665.88                        	0.21           	0.07          	-1          	-1          	-1      	3.61     	4.57      	22.54                    	2.11                	35.75                	-1         	-1          	-1         
